Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38
MAGN	-0.158004543239621	-0.182505286022592	-0.114142829662996	-0.0750768981831929	-0.0571813439921895	-0.323038530493049	0.0319707508964489	0.115197212354933	-0.0687379093913777	-0.142788027733025	0.363992607612177	0.0487592022125959	-0.18102714884162	-0.0298112711649437	0.272520337916751	-0.161429067697164	0.0329753851320059	-0.213751086163394	-0.112771572185182	-0.028900064918583	-0.103219813704525	0.0582478363773218	0.325870296224677	-0.0387835831106305	0.154314555629053	-0.0608360959561533	0.0894518744369253	-0.180821340187229	-0.149948313302707	-0.197408462316745	-0.198839999353526	-0.287695801735613	-0.196793497313913	-0.0552837900740762	0.132831299919835	0.116552919423699	0.00655278051328479	-0.00875988773905229
POTA	-0.186496551333114	-0.138367556889432	-0.198366122573946	-0.0116044730042584	-0.153528964560547	-0.180338561327842	-0.151314918089651	-0.0548217386888002	0.152141997725889	0.179329763492474	0.0229938992983324	0.0956654582957463	0.292773823509892	-0.144814205471111	-0.11844921343451	-0.26302524210894	0.243433325216252	-0.0353161662798805	-0.0719330900164214	-0.0387669811250803	0.00950118491999463	-0.160053979541484	0.0195217681681707	-0.25832288387956	-0.261871946063107	-0.165679911919691	0.177470123080793	-0.00623569965563179	-0.0504482704797715	0.0457162739119427	-0.207446518477228	0.217104879097369	0.104567482593919	0.334951475348919	-0.205634446510393	-0.0214229547675628	0.130447916720233	-0.0667182425597089
SODI	-0.132000457759993	0.124469372385622	-0.0627811173037916	0.296276091563199	0.287360121942728	-0.122976451878845	0.249815825498698	-0.096394396891414	0.077131622712058	-0.17387756128294	0.0601670017129592	0.0521455964212316	-0.0819452403801464	-0.13292148682195	-0.074580563948455	-0.0640320012496083	-0.0527798904766836	0.337657925246929	0.000719651132205332	0.180142854034606	0.138245118731784	-0.0734975414733811	0.330862584842654	-0.344545382808404	-0.0835485103249665	0.0911777785822394	-0.193813071509134	-0.0283858611107703	-0.190034676142923	0.154802066696126	0.184064794680443	0.180325161794249	-0.162031619070084	-0.0481527925399836	0.0846896962670502	-0.0402934174344542	0.0997084807061722	0.00165406741656974
ZINC	-0.225646499669416	0.0134564760301391	0.018356142892726	-0.257435193851254	0.20000696231023	-0.072113878983775	-0.152166063599652	-0.0812318740947512	-0.0670913388591012	0.0147074112327663	-0.175559245063	0.194861850656511	-0.200367684581074	-0.0535302311053805	0.254931400757015	0.194242656695459	0.0971257515094093	0.174732258080797	-0.245499961527864	-0.250252941125138	-0.0424776038300839	0.244212867028446	-0.119634440367277	0.133078900859628	-0.267315932619767	-0.0166621817785119	-0.11511885875239	0.291638152302257	-0.227958812276816	0.180116596973083	-0.083574545307507	0.0289945765564824	-0.153668692112953	0.140805541390008	0.1158183488373	0.0922805146545485	0.0640026121840654	0.00511595385220729
COPP	-0.0926816423733004	-0.277544151904944	-0.124073119910173	0.186808670014634	-0.0701797078596133	-0.131360803477153	0.116265205024411	0.044396413918767	0.115599683618481	-0.111817823063158	0.177161635934634	0.139565587750062	-0.27797831934783	-0.0578488251770575	0.0133926041541806	-0.193841462252596	-0.296976369932704	0.267139691288576	-0.0231648471237077	-0.0490871565335823	-0.103371516799563	0.0613104733135992	-0.386679323367773	0.108811773479294	0.129494800437337	0.209397891422829	-0.015400363898543	-0.014844956427823	0.226055857425605	0.237993459249665	-0.251234765026513	0.105872281696035	0.204669233043328	0.0130718268781872	-0.0744663165643932	-0.0351309531060063	-0.0231749074656774	0.0219903736712781
VC	0.0515454744333509	-0.271371800226897	-0.14730295710925	0.0278013976127243	-0.24230920844239	0.0490153513523522	-0.128450282147754	-0.1418408663823	-0.119024438586967	0.0521618178475736	-0.0764236702625498	-0.276594292368462	-0.01240131659738	-0.273741194418301	0.00333922912592643	0.107388495729695	0.238842516245077	0.300481083439425	0.287823549204945	0.170096775200565	-0.0307623768061506	-0.0644992582018386	0.148843717324958	0.280328013936027	0.0503515769718756	0.183909237984432	-0.30807255880467	-0.00169550817477738	-0.258059768643594	-0.0828556100957755	-0.186148619497878	-0.077398545089864	0.0651373469711976	0.0234700728017129	-0.0148055388433095	0.0141921594057241	0.0453498736271542	-0.00581575429973279
VB1	-0.161995841665378	-0.132684354315305	0.123805096334216	0.172591648307177	0.0422701088434054	-0.101758234088099	-0.044048986405995	-0.243408364074621	0.217967219809309	0.304601130636017	0.202090435915373	0.358644991433704	0.0804622230901919	-0.149944390907963	-0.313347430336672	0.405190084918606	-0.000631465734814405	-0.172537578405516	-0.0639354828726016	-0.0013395356969288	-0.0115352509154245	0.00288987055645401	-0.115131170541796	-0.0681434543894281	0.261389984755195	0.10223855525101	-0.141520533867707	0.100248243582846	-0.07634597201525	-0.183657649406268	0.0576313920353222	-0.133152845544455	0.0252950108199194	-0.0174165121583527	0.0927882009869328	0.0665476905611171	-0.0251094165817665	-0.0254842188103239
VB2	-0.244079941874224	0.0935737987427157	-0.0746459027306289	-0.231370839061139	0.0463019325958841	-0.0898549364929171	0.0458784623759664	0.262658993709065	0.0504828703565613	0.0668893800908222	0.0741137295227673	0.0678688940101104	0.0233871198696311	0.249527296860692	-0.136348667297789	0.178064999950384	-0.0340412303524918	0.0674697756826677	0.211322095183488	0.0713177938816308	0.14594903237925	-0.0785652506381614	0.265329477436379	0.255125301431071	0.236497815249319	0.164085889159934	0.0756238594948189	0.0608135149750175	0.110759121213022	0.0819117817575931	-0.0341024794833838	0.146205397506819	-0.147515745917319	0.423918565764174	-0.0647927552659335	-0.074012409938427	-0.0990081990747139	0.296428307767481
NIAC	-0.234540738041104	0.0915450109529665	-0.121235048034587	0.222830609967252	-0.0157354509208823	0.00341832233028417	-0.267010875041148	-0.146033135115789	0.069168882934649	-0.0259895723430906	-0.0469208514496448	-0.17966613267448	-0.0868972428222644	0.0420381341681414	-0.150887960941696	-0.212480839032636	-0.0193321972588157	0.147023196354562	-0.158563682627587	0.173708086572997	-0.0278184590702704	-0.01776048921805	-0.159166102250536	0.195101367199336	0.0233947120512353	-0.201585490216952	-0.0541793855612625	0.0548735242545028	0.268354015323765	-0.133090237605472	0.213077477593838	-0.306157460213757	-0.441306798315008	0.140515032174601	-0.134628943441773	0.0819949083808001	0.0708877345323584	-0.00697865344793217
VB6	-0.151599913111548	-0.18354114644053	-0.179879525498264	0.0207708473849799	0.0294880573531684	0.19587555012512	-0.375720439083591	0.079378298555306	0.191294643262271	0.00503097259735172	-0.0129512388746833	0.0518237111981929	-0.131486498909435	0.208205657029143	-0.0632015900737527	-0.0618475510469215	0.108236567736008	0.130167809329994	-0.146648877460535	-1.50426427985156e-05	0.150402373710977	-0.120530234787879	0.0307552264940665	0.0822684924405151	-0.0662987536279061	-0.0311795883465276	0.0897062074368652	-0.190298133351865	-0.0479491454867347	-0.19858835193167	0.0979583821193971	0.305264702195868	0.125031627659435	-0.280741817511162	0.400664133678055	0.0505489929183069	-0.222860242051514	0.13975526258408
