Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33
CRYP	0.0240349063270358	0.0462489888697707	0.150509944972642	-0.0424730162961414	-0.295227018531369	0.153447286229009	0.0179403345046186	-0.282727026144553	0.516735266982359	0.271418081432684	0.141915792010742	0.216216828517013	-0.457124858816813	0.195586625232515	0.0352638035925393	0.102207081917552	-0.167775289671172	0.0334866716153197	-0.0137537375843156	-0.137425897119405	-0.224137014311753	-0.0172543851274308	0.0208186997811004	-0.094771371334072	-0.0782867610262257	-0.0182760915515467	0.00033258743380179	0.0172415467793092	-0.00190297000771881	-0.00115951008434018	-0.00911187927625813	0.00667706819394358	-0.0140276048567863
LYCO	0.107808335321412	0.134617120134943	0.0129335332619339	-0.148615248836258	-0.461003789160432	0.13539881653623	0.147070730231858	0.0557351238221811	-0.0622932998757888	0.0385760641791882	0.135423980542992	-0.00474123520521027	0.23255006851262	0.424497131963117	0.204550420130547	0.140711906889948	0.302217021183911	0.148910038289016	0.000463235601216394	0.344950467268788	0.246769203210039	0.255749046315791	-0.0297202499145009	0.012165763314697	-0.00689759825505272	0.0837467579838657	0.0290520145402031	0.0333348342338708	-0.0109974438684061	0.0488315148098169	0.0333006105633463	-0.0114624899825196	0.0127724287895577
LZ	0.031170396051491	0.0922294253176295	0.403231268365188	-0.0706045546052478	0.198919370367991	0.215565235834587	0.202988616785205	0.0969244778867556	-0.155963500245836	-0.0388441506303353	-0.130001015759435	-0.123440566158471	-0.358333850957302	-0.153800781854029	-0.263474882182688	0.387258552623832	0.331234635509531	0.155021307283814	0.0741427823349065	0.00914127655842029	0.00319139626521515	0.0704309537057857	-0.134559461627491	-0.218643415361368	0.110893773058621	0.0470635864553455	0.0806919122521953	-0.0454463805616904	-0.145341606901132	0.00989861511217968	-0.00648275254609507	0.0264759897027386	0.0402936006259916
IRON	0.261467340931579	-0.0265756966764277	-0.0656217005199608	-0.189669665598088	-0.102332846013978	0.0718531615698642	0.1216138023814	0.113114564057418	0.0745981204824213	-0.00207652128579995	0.0572355593206219	-0.123267230805763	0.0927728451321124	-0.151959895848094	-0.0464854239995726	0.0168604345123489	-0.0100844863320778	-0.0590305220659826	0.0465984947484486	-0.292860934091676	-0.175845400817755	0.0812479418019338	0.012531088845478	0.2555893637762	-0.015905647174905	0.714941365950652	-0.135586562487653	-0.193314179838359	-0.0707560864062733	-0.114738954429482	0.0149992626530967	-0.0941428614831896	-0.0174871380519593
CALC	0.229877757309912	0.109527517094679	-0.108456309975299	-0.108684569678234	0.107730630594188	-0.00660203828324905	-0.222628502728985	-0.0296262627105955	0.0879932126875668	-0.180958911683565	0.0271471525719565	0.000131376443493229	-0.18446317807224	0.210363012599662	-0.32471155503283	-0.0723219900895106	0.240502504402218	-0.00664769696467918	0.230823326471374	-0.0193563964519515	0.255686102534941	-0.276996047666719	0.213815451323096	0.143523641234159	-0.356516636408152	0.0609513033911187	0.109751485169406	-0.0961108793237657	0.219505370277242	0.302747062143462	-0.0731213435592928	0.0451459301183957	-0.00614871817172635
NIAC	0.264806080863589	-0.0610248390581541	-0.0155000381067241	-0.0599171044931126	-0.198414236280819	-0.0268380178829044	-0.0315018798181442	0.0448481241335358	-0.0444369926308551	-0.218650797493728	0.0322063182390698	0.111545095155602	0.124485109008325	-0.155645166311236	0.030230682989778	0.0338782297585411	-0.0711937724852201	-0.0344975851072059	-0.110847691654811	-0.0296780626711017	-0.0373417154108247	-0.170266418865172	0.0075773975409659	-0.581803621384621	-0.0969820558845567	0.0182892565778354	-0.418577035396753	0.0359334547294487	-0.191405702746354	0.396766529226235	-0.0574578011958285	0.047129840587214	0.000506306589996623
FDFE	0.22312735590371	0.0178258768494202	-0.0278519656596489	-0.278413909615292	-0.129403907248205	-0.0658028374599303	0.129547033733709	0.0275114005944707	0.131563559815761	-0.255487906265934	-0.164561229077286	-0.152470622296366	0.049689790602902	-0.124649120452398	0.179739705739503	-0.1443900322721	0.0913325442869453	-0.105753271852122	-0.0503065852228291	-0.130729803438184	-0.299854340946828	0.22253889315683	0.00576642026506209	-0.0869210943320579	-0.043577814817009	-0.331323689266257	0.476571294332053	-0.29304696918195	0.0631773421836762	0.0860772331593266	-0.0768648946137139	0.0276109730489046	0.00247384363206129
VB12	0.201264801897546	-0.298208102031662	-0.00838151700606568	-0.229185539156437	0.143263821223479	0.0035807842486711	0.0955525886502687	-0.0644913860079713	0.0229363664512802	0.0974168726322294	0.0596887709342787	-0.0765846248919329	0.162029938370666	0.107899961862509	-0.170366233284848	0.137995330146349	-0.169658874165395	0.068369315661427	0.104866322536106	0.031663095633098	-0.00271700067791062	-0.0613952369092519	0.147650763437248	-0.0999891008119833	-0.0362902245673548	-0.158980553493499	0.0611044535033505	-0.00131759065822619	-0.0312833487323887	-0.0548964883275179	0.722380155016271	-0.20350573208119	0.0115442592823726
B12A	0.101751811678511	-0.0365767742905733	-0.0269629394050377	-0.488328100880275	0.0881654453348114	-0.142302312603673	0.257815071587655	0.00948196963094742	0.0734890179220891	-0.0460902921105915	0.0230643909809477	-0.0278622257774131	-0.18935914407871	-0.249210140518066	0.109777670484467	0.157134417493371	-0.382157145771704	0.0481773238893925	0.0627678324014194	0.265283483219849	0.303846135230794	0.0473772499187331	0.104308389256055	0.149969751860871	0.0732163487293578	-0.0690115651452907	-0.138412933016219	0.154745501897993	0.183976450642592	-0.0190236998297824	-0.26783714975829	0.034252707075122	-0.00568564446617448
VC	0.0739364149921809	0.101572291715761	0.199846502578155	-0.0658225136938094	-0.329536412219963	-0.177272788276363	-0.22699720785813	-0.226506739663161	-0.290928826506907	0.316458633001546	-0.357279026430362	-0.0464943543571017	0.0241512926415611	-0.211537812340013	-0.0932870170265093	-0.221365498045175	-0.129980894892795	0.216034753349424	0.337363960189845	0.107247871990634	-0.0714518571653686	0.037764929270785	0.159846904819984	-0.0294044352320438	-0.0322599105167697	0.109009160522258	0.131365894605277	0.11337388855202	-0.0961108988932097	0.037768974412651	0.00564583026483848	0.0623357517381106	0.00379492073567411
