Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26
NIAC	0.115764917207221	-0.0626919681501984	-0.158513723969946	0.141391345358297	0.435962457364308	-0.133702817312521	-0.269516502013957	0.119566276049969	0.447450709517884	-0.0653355954105278	-0.396440702442524	-0.394679276281515	0.0136305015289917	-0.0482582886986902	-0.0846359464859785	0.234026996302424	0.0110268506555257	-0.178486124733788	-0.0781386423426504	0.000727659732654925	0.072362293256464	-0.0431258920770749	-0.0367628576224367	0.0178613870349599	0.11785289173634	0.00834987271188143
FDFE	0.214756306430109	0.0859553547447202	0.119261904839611	0.228348483221046	0.171555416158262	-0.0504493719707384	0.16620420865555	-0.169489898838264	-0.253001160360166	0.294245830160167	-0.149778062070562	-0.013554509564345	0.594280340384197	0.0580116138835332	-0.443827485655699	-0.0280080088294034	0.125738712229617	0.0437312080163455	0.0920518918580529	-0.012247227324242	-0.169638850823112	-0.0689090248560796	0.0122396784099588	0.0530082346495573	0.03763631423741	0.0063725388265693
POTA	0.266833640219984	0.177281197556239	-0.0545787238066369	0.136477647171707	0.120627953376137	-0.0424967023534844	-0.0789991062055476	-0.0833089178159598	-0.229145384748142	-0.0856132151525995	0.262253716477525	0.0204795301939981	0.0936124747665461	-0.198726201716533	0.189878711679246	0.184010309257087	-0.188337982823865	-0.250702249159897	0.402670577177996	-0.110629460343833	0.501968758710631	-0.188714183934718	-0.159041244789611	0.0783704572680858	-0.0789391428128015	0.0326607568124063
VC	0.110644746929644	0.376487152526211	0.0727619205545539	0.027239481216588	-0.214291015946306	0.157166200209173	-0.0932995723074566	0.074830798766189	0.0629114640871387	-0.103709612702838	0.129772740635877	-0.309423061799865	0.197744987001504	-0.562291529295569	0.00957476699867698	-0.143725884943321	-0.245803375408023	-0.0698989338739407	-0.285439937836297	-0.11595155599091	-0.270230527777873	0.101187659200662	0.0443533153242832	0.0215980178619486	-0.0762110720726717	-0.000776349414473778
VD	0.140327332901902	0.13747681933008	-0.525522991876476	0.063326839728754	-0.133417714363097	-0.062959333793312	0.258135730449958	-0.029767209327625	0.111613218581454	-0.0640167212835209	-0.0267311684801918	0.220281540242048	0.0504055651874994	0.0431940342617892	-0.153569412412044	0.222671378471794	-0.0583556031944918	0.211316601973464	-0.263976874388788	-0.40819603832374	0.248872427871563	0.160049723880298	0.268167025026091	-0.0538348249406353	-0.00934813626814353	0.0418596479102579
CAFF	0.0546874129407978	-0.200918458297387	-0.259523852850539	0.0627004948818732	0.313158452570521	-0.0781766462472244	-0.502052018760984	0.0104876206859334	-0.0799559224000645	-0.039602171072363	0.434711241928134	0.384293627505869	0.0423868566716454	-0.161991429824497	-0.18578693661856	0.0116741527087946	-0.015131745038589	0.101623855934967	-0.162273633584823	0.175001818046161	-0.202375826904767	0.101988921802306	-0.013315271729059	0.0103895673632731	0.0180996799898045	-0.0470964511664105
THEO	0.0592874697395437	-0.144786022198197	-0.0187838343243534	-0.522618119473947	0.185727362168635	0.247461881821236	0.149813615077234	0.245833298164064	0.0170001645355704	-0.105553596995864	0.209299052176485	-0.135505000808398	0.492606393915803	0.0960814906057215	0.266933525117132	0.292646424242335	0.0665755539865792	0.12180181194233	-0.0349742486506127	0.0627185431015341	-0.0137955365894046	-0.0252448845834408	0.0594512366672612	-0.0903950615486246	0.061006880359171	-0.0190503413436815
ALCO	0.152175197421069	0.056327170810961	-0.157442683127613	-0.369098753905947	-0.137164250028053	-0.210690465438984	-0.196961731547628	0.251260597402382	-0.261854013798751	-0.17841837821019	-0.501776358192706	0.196660982499309	0.119738375742405	0.0398124316362803	-0.0627250071788429	-0.213371580503073	-0.363708631034128	0.0519793894869196	0.0159223598008148	0.162719676033923	0.0334041322040884	-0.134304756735248	-0.0585271044090309	0.0640920711361935	-0.0532299890877606	-0.00635613347572742
S140	0.241887566744296	-0.266167330330362	-0.0199619663355573	0.00864656896582764	-0.263768165904109	-0.0304599912164523	0.00749232867973023	0.00911070503399292	0.14163358946972	0.218205743023874	0.114426120932982	0.0409750141742511	0.00679213148911411	0.0407155793799176	-0.0744988057625096	-0.00406213232264645	-0.242559295142349	-0.424576519177036	0.0352625612600207	0.100710729594746	-0.0753106331655047	-0.237916746956214	0.340245594758134	-0.505169622584988	0.155807187296085	-0.0425822840712884
S120	0.144559655956645	-0.233592302595881	-0.0136704517321918	-0.0468645788105896	-0.299191416034302	-0.23770154203782	-0.276121998964455	-0.182329071810673	0.335696539299544	0.351618584280341	0.0861559241838122	-0.162231282915803	0.233230076377096	0.0186798247097988	0.199417837978649	-0.205850209663167	-0.0251719127188503	0.410593455705465	0.0894552222835009	-0.099402363871574	0.171897169640562	0.0237809951375055	-0.153820173903595	0.0693396374383538	-0.105675215362081	-0.0532808495601174
