Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37
BCAR	-0.0764124632559832	0.00151534412658272	-0.279579198416017	-0.232508438165054	-0.364242253825734	-0.114466998721612	-0.133599517939022	0.168435897826631	0.00334242833373504	0.0116220908087342	-0.0665686870429319	-0.134952473346074	-0.147520422182061	-0.0489146603589627	0.0916193418127687	0.267899210193262	0.261046393776373	0.0495775996111144	-0.0976993198502092	-0.116786486956308	0.419845558650708	0.0999141963485482	-0.0307332659478825	0.141966660244464	-0.0142738440768861	-0.00788056432856498	0.105885487920471	-0.09900411088833	-0.174187727823276	0.125180391818373	-0.193296971692483	-0.102931575366696	-0.0496258119690315	-0.319287129169962	0.142111856933807	0.0428808630978853	-0.000247910426226787
CRYP	-0.085812388870551	0.184891005134582	-0.169712641708949	-0.199587247558976	0.157515505080129	0.0750868523660926	0.129825697065351	-0.293328328814402	-0.351635082789988	-0.118639381806348	0.107486155859251	0.0931984026185359	0.340703114412049	0.130322211772765	0.00344936723389726	0.0680061010948764	0.386994089703581	-0.338490977424917	0.223490237100292	-0.0837242861319435	0.117125336411795	0.0137936160133221	-0.146829563105708	-0.0385216626391707	-0.0179616615236507	0.087304595006808	-0.247432812512422	0.0212369768365248	0.0301239446287669	-0.0691876110230105	0.0168827558212444	-0.0360896798853941	0.0751232109039835	-0.0986835782582416	-0.0932080088327773	-0.039847240790329	0.000116776035015201
LYCO	-0.0834938462944751	0.31603402025627	-0.14536211931751	-0.124158167195093	0.0697944713151099	0.185524243517658	0.0863110690049595	-0.0497645776675591	0.102913979516072	0.00955779210862571	-0.2113239996459	0.198862625709256	-0.118677414425913	0.290400700373366	0.38429599384989	-0.447048384430005	-0.0481373543377805	-0.151492959083408	-0.317221223356441	0.120292867054841	0.093710540865765	0.0198402736832183	-0.0994082517289138	0.136031125106989	-0.107852891482207	-0.134693031423152	0.109359265882136	-0.0625320790827778	-0.0584569594546074	0.0642258972126775	-0.103407097547069	0.00794032019705923	-0.0902186762007956	0.119304972584868	-0.0197995420251146	0.0437432557344662	-0.000309433068008034
LZ	-0.0640240605690544	0.173361421769417	-0.177368774450042	-0.245552555060367	-0.196572182215589	-0.134347499675316	0.0135838712718378	-0.341858538773306	-0.0857577341365225	0.206373684546161	-0.146652668607809	-0.449226397732727	-0.105321627953157	-0.021733041297879	-0.140829486130831	-0.026278845606551	0.100134070704998	0.0555745572498813	-0.160771310268047	0.240147097539975	-0.441882345441479	0.0808585523867868	0.111930372258899	-0.00610815322604899	-0.0677134765742096	0.163782786707072	0.00563863851403906	-0.0454638407965884	0.133689302823054	-0.0605986862472363	0.0336171773231678	-0.0982141129074393	-0.0991238628740841	0.0533279935506829	-0.0695969678759786	0.0257833750233114	-3.40690816773243e-05
VB1	-0.232038136785574	0.131310271733471	-0.0136887692933976	0.0201426283661693	0.0560237990839764	0.0324418148012608	0.084564082709643	0.0395894658294938	0.101246093452784	-0.159359711401644	-0.104541244150097	-0.158249902813338	-0.173258370940274	-0.131203702797836	0.0970786880049976	-0.0650413125860945	0.013612823656425	0.251816873855289	0.163989734934248	0.083503357538353	-0.0663706726026271	0.174850479394642	-0.451228339235168	-0.452637376246417	0.168529469699389	-0.352045690772814	-0.171791896870433	-0.0436683845482164	0.0355461136381585	-0.0881058950680508	0.00179701189862832	-0.0584638882875421	0.0180452789259107	-0.195592777626997	-0.00654502191968224	-0.0845528963941032	0.000576681891919489
VB2	-0.231329660467935	0.0160221710276028	0.00442642197927731	0.0963949124951168	0.0221224157867946	-0.271174768098938	0.0767193874916123	0.0662769468493541	-0.104686122127151	-0.152496421975228	0.121638399195932	0.0692131808375133	-0.124668372199198	0.180629061993684	-0.0924392931700751	0.0949996987081456	-0.113701131125538	0.104504841212162	0.0659219664687796	0.0932254131585394	0.0824105695486693	-0.0191070745677882	-0.0372560892688553	0.0708322674959258	-0.468091955072654	-0.060098048028362	-0.0411397296964936	0.421277944005856	0.190586495125249	-0.164868002620395	-0.293702564362453	-0.209846576120524	-0.281201241618946	0.0521514023210257	-0.0714766677483478	0.00560553086496435	-0.00144358698174079
NIAC	-0.223615829028739	-0.0877153090034504	0.0520689533334711	0.0537943900996163	0.125812725477863	0.00764873533700897	-0.0571869067930287	0.0400708629934647	-0.0988966882172385	-0.0162315589304712	-0.394860390279416	-0.0553493499585771	-0.0856363609495666	0.247720087771322	-0.0370206344517084	0.0687986796436321	0.19449641378274	0.151115432333034	-0.055731622474642	-0.08455497280649	-0.0322637030408899	-0.207108496340788	0.259157477146299	-0.219238724221889	-0.221429385841812	-0.00126938873640172	-0.14789860217525	0.0231870820042063	-0.480150351265858	-0.206849707135129	0.0188171290732302	0.119397925894081	0.24702487151954	0.108564523180548	0.0979688302389623	-0.0152741554677186	-0.00112117384896795
FDFE	-0.206354178328786	0.0516894296339421	-0.178891319131947	0.185952505020461	0.202559633547039	0.0689082444711974	0.0988890315444125	0.144010910069891	0.219811807806373	0.0229802935344218	0.0561513357904939	-0.280305806148307	0.100096810752388	-0.125621119848692	0.00374555201420082	-0.114283685869795	0.0744929741976336	-0.0870153460005952	0.166692686948908	-0.096902709012199	0.00113800400484296	0.119482022046713	0.110562111375072	0.122074232716326	-0.0933553491685099	0.0716971548909308	0.100899077428318	-0.0170388793194361	-0.0574798820098489	-0.0174633749090818	-0.00540342977288064	0.0203971896051175	-0.0329715629609482	0.0162879786579973	-0.0201447324652416	0.0379888722805192	-0.720514621773011
FA	-0.133408040771947	0.0329017463069442	-0.178176458351512	0.375400219352514	0.130546978017471	0.200307892652999	0.132607847699647	0.126625825054726	0.212249773667019	-0.0622795221131217	0.0286469977995911	-0.298638290879267	0.00475569161043163	-0.0370073259375146	0.116009999360357	0.0563030755027406	0.187314927971476	-0.146869922779959	0.0449038546642804	0.0497644889462944	0.0677555774585143	0.169830459964526	0.229442220735055	0.0616402174676398	-0.0954042849588745	0.0428942516901796	0.0273023081725463	0.037096446630467	0.129973649451025	-0.0228158757927742	0.159681057568511	0.0527053685432382	-0.055175736590748	-0.0157738528555642	0.0225706217723056	0.0248992457887394	0.588647238346237
FF	-0.190172563455427	0.0490026571179007	-0.0644324756527457	-0.237285665371431	0.187704226301597	-0.185952636803783	-0.0204010382732012	0.0779680597295589	0.091636402761998	0.143800632149692	0.0636911382671617	-0.0710186352559804	0.187782124610465	-0.18805457092659	-0.178376324136695	-0.314568633530229	-0.154413627159031	0.0628483963798231	0.256063698434585	-0.269198547628552	-0.103994037649451	-0.0360464047922276	-0.149498593653092	0.139853130465809	-0.0304678689700293	0.0733881783437375	0.154841868008841	-0.0895749295103885	-0.326524484953361	-0.00599402868551887	-0.269521869719525	-0.0474637571821979	0.0198640621581917	0.061432698811273	-0.0731790555791372	0.0391508877050747	0.366502738262183
