KCAL	SODI	SUGR	FF	TFAT	PFAT	CHL	ATOC	ATOA	VARA	ACAR	BCAR	CRYP	LYCO	LZ	IRON	VB2	NIAC	FDFE	VB12	B12A	VC	VD	CALC	PHOS	POTA	COPP	CAFF	THEO	ALCO	MOIS	S140	S100	S120	M161	M201	M221	P226	P225
2677	6970	63.205	208	110.145	33.213	518.45	8.405	0	613.5	225	2508	20	6135.5	1001.5	14.23	2.692	51.017	537.5	4.925	0	44	3.8	1292	2463.5	3785.5	1.137	0	0	0	3265.035	2.213	0.4935	0.3985	2.3185	0.3955	0.0205	0.018	0.027
1560	2544.5	66.275	232	62.945	17.4235	400.6	8.025	0	975	3648	8506	110	0	2488.5	9.47	1.4945	19.7765	344.5	1.885	0	219.3	4.7	914.5	1080.5	3077	1.408	0.5	10	0	5412.805	0.516	0.093	0.104	0.881	0.3205	0	0.0325	0.006
1755.5	2022	83.36	246.5	55.955	17.0245	318.45	6.75	0	291	503	1561.5	41	565	789	10.77	1.1135	18.553	409.5	1.105	0	24.65	1.25	410.5	1173	1928.5	0.915	98.5	0	0	1513.74	0.245	0.053	0.0705	0.9045	0.1625	0.0035	0.038	0.017
3402	6232.5	247.16	194	149.46	44.602	430.2	11.25	0	389	5	271	67.5	654	561	15.81	1.9785	20.8735	640	3.56	0	9.45	3	788.5	2072	1908	1.068	274	12.5	0	2538.01	2.478	0.485	2.4765	1.238	0.5625	0.041	0.1535	0.033
1811.5	1825.5	232.195	56	48.415	12.274	187.7	3.31	0	62	10	181	0.5	1202.5	953	6.33	0.8905	14.2625	68	1.115	0	289.75	1	278	656.5	3423.5	0.5875	1	8.5	0	2207.53	0.4785	0.072	0.077	0.99	0.321	0.012	0.0085	0.023
2272	3660.5	143.755	299	89.395	20.5275	428.6	10.01	0	930.5	1053	4958.5	147	4932.5	3802.5	14.585	2.202	26.924	539	6.095	0.75	114.8	5	1138	1532.5	3527.5	1.1855	121.5	36.5	0	3242.08	2.9365	0.6585	0.8485	1.1785	0.2665	0.0055	0.0455	0.019
1866	3676	57.875	362.5	76.74	19.767	583.6	7.2	0	881	20.5	7090.5	36.5	357	8883	14.2	1.974	27.727	530	3.92	0	91.35	4.15	683	1281	2834	1.3205	1.5	45.5	14.95	3666.315	1.16	0.2645	0.2475	1.264	0.274	0.0155	0.082	0.0265
1259.5	1194	76.245	79.5	58.465	15.34	89.2	19.64	13.68	334.5	0.5	132.5	2.5	0	93	6.04	0.6775	18.234	369	3.37	1.8	97	0.4	480.5	412.5	882	0.597	60	63.5	0	1646.45	1.034	0.193	0.213	0.4325	0.2365	0.012	0.0015	0.0075
1273.5	2059.5	57.805	158.5	31.175	5.5685	342.05	3.015	0	1110.5	2114.5	5306.5	87	1395	784	11.125	1.692	16.2495	574.5	5.48	0.78	95.55	6.55	975.5	1169.5	2314.5	0.671	0	0	0	2272.1	1.408	0.4105	0.5355	0.556	0.0725	0.001	0.034	0.0205
1222	2318	56.075	120	42.78	8.438	232.45	4.1	0	351.5	187.5	1392.5	117.5	8314	766	10.425	1.0765	17.567	306.5	3.295	0.585	40.85	2.25	498.5	779	1754	0.7305	22.5	2	0	1791.305	1.1805	0.272	0.3015	0.523	0.1555	0.034	0.0165	0.014
