KCAL	SODI	SUGR	FF	TFAT	PFAT	CHL	ATOC	ATOA	RET	VARA	ACAR	BCAR	CRYP	LYCO	LZ	IRON	NIAC	FDFE	ZINC	B12A	VC	VD	CALC	POTA	CAFF	THEO	ALCO	MOIS	S140	S100	S120	M201	M221	P226	P225
3290	6925.5	128.64	420	117.95	16.1595	512.35	9.76	0	335	716	1188	3928.5	128.5	7588	1338	22.63	54.4065	553	26.46	8.5	74.3	1.55	1447	4512	330	11.5	67.8	4296.695	5.0885	0.914	1.1655	0.3535	0.0025	0.097	0.07
4286	9659	118.71	673	206.57	50.5665	806.3	35.015	4.08	581	3013.5	9669.5	23989	332.5	73721.5	5487	31.67	53.0205	783	31.705	0.715	231.6	3.8	1467	7396.5	250.5	87	31.35	3346.985	3.9525	0.769	1.8855	0.6395	0.01	0.0015	0.037
2727.5	3099.5	84.2	271	143.92	24.1415	276.45	18.99	0	419	575	13	1850	5	8	2491	15.96	23.1	424	11.635	0	55.5	11.55	840	3066.5	234.5	65	35.8	3778.91	4.4485	1.3755	2.3285	0.461	0.0135	0.3625	0.072
1524	2384	44.52	206	56.845	8.9345	236.3	7.62	3.43	415	597.5	138.5	2115.5	23.5	542.5	4096	8.965	14.583	224.5	7.875	0.52	86.55	2.85	946	2274.5	87.5	99	0	1961.58	2.275	0.6405	0.7175	0.1195	0.004	0.0155	0.0075
3314	6572	168.035	210	162.585	35.3425	365.35	10.93	0	493	655	50	1883.5	83.5	9287	2025	12.635	26.258	350.5	12.855	0	88.7	2.75	1525	2578	0	0	21.05	4764.435	5.1465	1.2685	2.5075	0.4825	0.0445	0.018	0.0395
1470.5	1871.5	80.3	190	44.9	13.3775	92.9	5.905	0	340.5	351.5	23.5	99	48	1225.5	438	18.885	23.035	683.5	5.055	1.075	60.95	1.65	687.5	1168.5	20	0	0	1305.34	0.8095	0.194	0.2395	0.2635	0.018	0	0.005
2591	6654.5	67.955	353	95.615	31.282	330.6	8.22	0	102.5	599	1895.5	4967	70.5	2649	735.5	18.405	35.017	692.5	12.465	0	35	0.95	827	3429.5	665.5	0	0	5772.885	1.353	0.2245	0.3225	0.304	0.0125	0.066	0.02
2077	2708.5	56.185	201	76.58	19.4735	561.2	7.75	0	386	1547.5	2081.5	12877.5	9.5	587.5	1195	9.695	27.2115	258	8.415	0	93.4	17.8	733	2739	132	0	35.65	4109.515	2.549	0.4895	0.513	1.1295	1.452	1.3735	0.182
1888	3489.5	130.195	350.5	68.65	19.6595	154.6	8.02	0	149.5	634	328	5640	20	2718.5	7491.5	12.27	34.1345	668.5	5.79	4.485	49.9	0.85	828.5	2351.5	344	20	0	2351.72	1.9095	0.5035	1.898	0.257	0.012	0.004	0.006
1506.5	2232	91.95	111.5	53.685	8.8935	263.3	5.45	0	978	1328	1281.5	3529	116.5	5321.5	833	15.365	26.153	495.5	9.23	1.68	49	11.5	1096	2983.5	17	1.5	0	1157.635	2.0365	0.5025	0.567	0.191	0.022	0.0025	0.016
992	420	110.585	0	49.335	9.275	235	8.915	8.915	891.5	891.5	0	0	0	0	0	18.085	10.0335	266.5	10.12	3	118.35	15	787	1066.5	0	0	0	1330.665	1.9335	0.592	4.35	0.075	0	0.1665	0
