FoodCode	DRXFCSD	Main.food.description	Old.Main.food.description	ModCode	FoodID
91300100	PANCAKE SYRUP, NFS	Pancake_syrup_NFS	Pancake syrup, NFS	0	91300100.0
91301020	CANE AND CORN PANCAKE SYRUP	Cane_and_corn_pancake_syrup	Cane and corn pancake syrup	0	91301020.0
91301030	CORN SYRUP, LIGHT OR DARK	Corn_syrup_light_or_dark	Corn syrup, light or dark	0	91301030.0
91301040	BUTTERED BLENDS SYRUP	Buttered_blends_syrup	Buttered blends syrup	0	91301040.0
91301050	FRUIT SYRUP	Fruit_syrup	Fruit syrup	0	91301050.0
91301060	MAPLE SYRUP	Maple_syrup	Maple syrup	0	91301060.0
91301080	CHOCOLATE SYRUP, THIN TYPE	Chocolate_syrup_thin_type	Chocolate syrup, thin type	0	91301080.0
91301081	CHOCOLATE SYRUP, THIN TYPE, LIGHT	Chocolate_syrup_thin_type_light	Chocolate syrup, thin type, light	0	91301081.0
91301090	SORGHUM SYRUP	Sorghum_syrup	Sorghum syrup	0	91301090.0
91301100	SUGAR, WHITE, AND WATER SYRUP	Sugar_white_and_water_syrup	Sugar, white, and water syrup	0	91301100.0
91301130	FRUIT FLAVORED SYRUP USED FOR MILK BEVERAGES	Fruit_flavored_syrup_used_for_milk_beverages	Fruit flavored syrup used for milk beverages	0	91301130.0
91301200	SUGAR, BROWN, AND WATER SYRUP	Sugar_brown_and_water_syrup	Sugar, brown, and water syrup	0	91301200.0
91301250	MAPLE AND CORN AND/OR CANE PANCAKE SYRUP BLENDS	Maple_and_corn_and_or_cane_pancake_syrup_blends	Maple and corn and/or cane pancake syrup blends	0	91301250.0
91301510	SYRUP, PANCAKE, REDUCED CALORIE	Syrup_pancake_reduced_calorie	Syrup, pancake, reduced calorie	0	91301510.0
91302010	HONEY	Honey	Honey	0	91302010.0
91303000	MOLASSES	Molasses	Molasses	0	91303000.0
91304010	TOPPING, BUTTERSCOTCH OR CARAMEL	Topping_butterscotch_or_caramel	Topping, butterscotch or caramel	0	91304010.0
91304020	TOPPING, CHOCOLATE, THICK, FUDGE TYPE	Topping_chocolate_thick_fudge_type	Topping, chocolate, thick, fudge type	0	91304020.0
91304030	TOPPING, FRUIT	Topping_fruit	Topping, fruit	0	91304030.0
91304040	TOPPING, MARSHMALLOW	Topping_marshmallow	Topping, marshmallow	0	91304040.0
91304060	TOPPING, NUTS AND SYRUP	Topping_nuts_and_syrup	Topping, nuts and syrup	0	91304060.0
91304070	TOPPING, PEANUT BUTTER, THICK, FUDGE TYPE	Topping_peanut_butter_thick_fudge_type	Topping, peanut butter, thick, fudge type	0	91304070.0
91304090	TOPPING, CHOCOLATE FLAVORED HAZELNUT SPREAD	Topping_chocolate_flavored_hazelnut_spread	Topping, chocolate flavored hazelnut spread	0	91304090.0
91304300	TOPPING, CHOCOLATE, HARD COATING	Topping_chocolate_hard_coating	Topping, chocolate, hard coating	0	91304300.0
91305010	ICING, CHOCOLATE	Icing_chocolate	Icing, chocolate	0	91305010.0
91305020	ICING, WHITE	Icing_white	Icing, white	0	91305020.0
91351010	SYRUP, DIETETIC	Syrup_dietetic	Syrup, dietetic	0	91351010.0
91351020	TOPPING, DIETETIC	Topping_dietetic	Topping, dietetic	0	91351020.0
91361010	SWEET AND SOUR SAUCE	Sweet_and_sour_sauce	Sweet and sour sauce	0	91361010.0
91361020	FRUIT SAUCE	Fruit_sauce	Fruit sauce	0	91361020.0
91361040	DESSERT SAUCE	Dessert_sauce	Dessert sauce	0	91361040.0
91361050	DUCK SAUCE	Duck_sauce	Duck sauce	0	91361050.0
91401000	JELLY, ALL FLAVORS	Jelly_all_flavors	Jelly, all flavors	0	91401000.0
91402000	JAM, PRESERVE, ALL FLAVORS	Jam_preserve_all_flavors	Jam, preserve, all flavors	0	91402000.0
91403000	FRUIT BUTTER, ALL FLAVORS	Fruit_butter_all_flavors	Fruit butter, all flavors	0	91403000.0
91404000	MARMALADE, ALL FLAVORS	Marmalade_all_flavors	Marmalade, all flavors	0	91404000.0
91405000	JELLY, SUGAR FREE, ALL FLAVORS	Jelly_sugar_free_all_flavors	Jelly, sugar free, all flavors	0	91405000.0
91405500	JELLY, REDUCED SUGAR, ALL FLAVORS	Jelly_reduced_sugar_all_flavors	Jelly, reduced sugar, all flavors	0	91405500.0
91406000	JAM, PRESERVE, MARMALADE, SUGAR FREE, ALL FLAVORS	Jam_preserve_marmalade_sugar_free_all_flavors	Jam, preserve, marmalade, sugar free, all flavors	0	91406000.0
