Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32
G_WHOLE	0.10003115760133	0.184473892711445	-0.0158012567095107	0.00537728227381126	0.307507847173755	-0.0455780342418742	-0.0509569971943796	-0.0822961409945364	-0.294351829376596	0.130179902617406	-0.18446581231299	-0.0537525406559627	-0.00495013469388483	-0.464636684269421	-0.156115954014383	0.432217351976479	-0.178933444326383	-0.106270115761325	-0.0526802846093848	-0.0806008802899498	0.250663473225449	-0.186497716873314	-0.149167662643308	-0.185427247080601	-0.221045752594178	0.0300503531261934	-0.136258427805057	0.0782475092506278	-0.0281238480347801	9.36750677027476e-17	9.90960785651751e-17	5.46437894932694e-17
G_TOTAL	0.148013838857195	0.264026200923554	0.238236406546782	-0.126219830517905	-0.0301191613933484	-0.22753570705566	0.0938010956125028	-0.0683059108537424	-0.137495572810194	-0.273006388538152	-0.103779624360804	-0.148012607005532	0.0384345923723476	0.0571231923589171	-0.164137329079113	-0.0909375907337977	0.183948433779185	-0.256032679627551	-0.212799170483608	-0.232005473412947	-0.13525487817617	0.0404981231826553	0.249144374385167	-0.161961176341606	0.0276854391219677	0.00172294774210918	-0.155115207427089	-0.497470158832201	0.156328941990249	-3.12250225675825e-17	7.63278329429795e-17	2.60208521396521e-17
PF_MEAT	0.0858329158732356	0.0821664780545261	-0.193362931361801	0.143867765425389	-0.270426324616446	-0.135728620698633	-0.00673410143349542	0.298767878718202	0.240749403894903	0.107999197095279	-0.252098303808417	0.163912320422405	-0.0208305606694173	-0.14567033948417	-0.0390501313732467	0.232641255926776	0.507225772879918	-0.175701153983409	0.0899000524470084	-0.19247807009271	-0.0532758343680067	0.109551533523339	0.0376457483722095	0.071715791055179	-0.0343944073394988	0.15510214516556	-0.04893567090429	0.148019291659026	-0.0646098462853089	0.0849147704439671	-0.277526368405014	-0.130229135768227
PF_CUREDMEAT	0.116347140011045	0.197422074998287	-0.248728311045309	-0.0510498974897657	-0.0617550550097311	0.0400802306678198	-0.401416510972814	0.131679926295037	-0.120784074548903	0.18628268256626	-0.0740336846344773	-0.0336879829543211	-0.323884687272628	0.0281975103240176	0.00812946559094905	-0.206313770054096	-0.291779331179208	-0.11227895379694	0.0261142495875473	-0.0256859938347234	-0.291482627193122	-0.278543638067436	-0.0310989184889995	-0.1135671545339	0.186937753551726	-0.0199790584564074	0.223475070497059	-0.11340640737311	0.0716778620085328	0.090957646549425	-0.297276259401608	-0.139496764104896
PF_ORGAN	-0.0136874947689088	0.0475080112232059	-0.196449996004952	0.101506397373657	-0.36777306065392	0.227866907407278	0.054844119305144	-0.10640190046303	-0.153829063253772	-0.377543431071511	-0.012987387507928	0.128567422338135	0.109461889650031	-0.190321764862312	-0.149343384693987	0.0828966941874518	-0.0430336273821916	0.292191488940127	-0.0732073851216448	0.179899229954545	-0.279378051857888	-0.207075434083543	0.109224373712633	-0.13800674579011	0.178670733765142	-0.0530733536767952	-0.390357695440672	0.145845216463673	-0.0148882567883324	0.00998449669092431	-0.032632262826555	-0.0153126760908787
PF_POULT	0.0576595629469612	-0.18562666676427	0.115921466355541	-0.378568452793439	-0.0637115055639636	0.0728096966047618	0.0798658920575893	0.223925233949224	0.0611894246937761	-0.0477451185887983	-0.153832611843257	-0.233071687112151	-0.164280748249277	0.0150746767571549	-0.414903032341909	-0.0363661429889819	-0.139070606125677	0.189590164366782	-0.146248776272819	0.305127402505074	0.0778702916602719	0.225900250497422	-0.0456854911831426	0.102500347523537	-0.239409628479123	0.0858553139813861	-0.0744070859138704	-0.0311018463749025	-0.0696260037092438	0.0996607132477393	-0.325720433273145	-0.152844181152942
PF_SEAFD_HI	0.221719004559701	-0.198304372461918	-0.162583984913549	0.0416968485137621	0.152651737142473	0.0720170592369575	-0.0684221540455142	0.0723710621198217	0.229573752346056	-0.239550925235589	0.102608649253797	-0.263690388101264	0.0741850722364482	0.0842549444593625	0.250410440154696	0.104789529005892	0.130897168409313	-0.187452893409502	-0.143299163120131	0.305665912777257	0.31614079239488	-0.114920104108504	-0.0183736193509549	-0.410605496497287	0.256300810318772	0.160315382056728	-0.0247280472426423	-0.0193072653806824	0.0617994705613881	0.0413347667639168	-0.135094137908878	-0.0633928693995375
PF_SEAFD_LOW	0.145823640195808	0.0147205692062801	-0.153095749952933	-0.0448590116450267	0.260168601240051	0.366269740925017	0.105014856943396	-0.118001745493358	0.333464532438733	-0.0839873202772647	0.0644117060699515	-0.117740901386835	0.0407953729626592	0.272998626587139	-0.0174128342228845	0.109003401784392	-0.149463832889564	-0.107361440111435	0.0338325245145432	-0.427530928676488	-0.130011024289055	-0.127607549254387	-0.0637144975413143	0.226918528740205	-0.149918229908961	-0.130153363285702	-0.321477115577359	0.0689888842706541	0.113408449433632	0.049737750391129	-0.162557552314102	-0.0762800654659571
PF_TOTAL	0.307051247212431	0.015326779738513	-0.290141933246334	-0.15041525973173	0.0198033762838304	0.101368988513378	-0.205835853417232	0.320357621479348	0.114795010586092	-0.013591152485295	-0.248167283567139	-0.128967997051706	-0.0429782385806993	0.00845743830233215	-0.0906243176017602	-0.00865289580779441	0.0157367611936466	0.024283595264725	-0.00957413315247582	0.0238257472431162	-0.116757290043509	0.132518568570042	-0.0514228969704866	0.0139347729520281	-0.00223598573746001	-0.0327983644267203	-0.0766395150919835	-0.0260980149375911	-0.0370945917008529	-0.18812743045772	0.614855605206515	0.288520743266599
PF_EGGS	0.0970383848511259	-0.0635673841744761	-0.0728523463954543	0.0982803999676315	-0.0278923563024761	-0.29243300073391	-0.325699068561106	-0.0735109303711357	-0.240126492610567	-0.344665054471415	0.0502497287918662	-0.327222983658346	0.0679346978239371	0.0540153727936981	-0.00344411901162391	-0.0748003165805279	0.0514211593967882	0.247118380302022	0.355072041038165	-0.275480304311568	0.105902248166862	0.231386096620396	-0.312658902961198	0.0365645979518342	0.046118610661477	-0.0661651614111879	-0.0638092628413009	0.0657892944987035	-0.10979841128753	0.0359310576033074	-0.117433231903717	-0.0551054964224962
