PHOS	CARB	FIBE	TFAT	SFAT	CHL	ATOC	ATOA	VARA	ACAR	BCAR	CRYP	LYCO	LZ	IRON	VB2	NIAC	FDFE	FF	B12A	VC	VD	CALC	MAGN	SODI	POTA	SELE	CAFF	THEO	ALCO	MOIS	S140	S120	M161	M201	M221	P183	P184	P226
3148.5	559.27	55.1	110.26	20.67	499.95	21.285	0	798.5	703.5	3682	172.5	27486.5	2070.5	25.645	3.7875	45.341	846	502	2.9	176.45	8.85	1719	1019	4385.5	6099.5	194.75	230	44.5	24.55	4072.985	0.479	0.1105	0.6615	0.456	0.022	3.0495	0	0.0115
1193.5	194.14	13.65	89.005	32.5245	267.75	5.99	0	350	0.5	466	5	5365	463	11.145	1.078	18.273	489.5	164.5	0	5.55	2.05	937	182	3737	1372	112.4	126.5	2	0	2105.61	3.0225	1.0695	1.2985	0.45	0.027	1.7255	0.004	0.028
1498	211.425	22.3	101.695	22.7275	462.95	11.385	0	852	494	3336.5	632.5	1412	4668	13.3	2.836	31.6985	478	317	1.27	71.65	9.15	879	455	6017.5	2921.5	108.75	146.5	46	0	2629.23	0.889	0.212	0.562	0.9785	0.0695	1.3095	0.015	0.1375
996	26.33	3.9	41.06	15.5935	363.1	6.175	0	626.5	263	4052.5	9	17558.5	6290.5	6.36	1.9225	12.4275	207.5	202	0	123.95	2.45	637.5	149.5	2995	2236.5	78.25	396	0	0	2515.57	1.483	0.3575	0.787	0.1455	0.002	0.349	0	0.047
1486.5	262.725	14.5	109.065	22.7385	329.3	11.63	0	192.5	21.5	154.5	84.5	454	398	10.45	1.4205	29.01	470	186.5	0	115.4	4.85	546	231.5	3842.5	2804	120.7	0	0	0	1260.685	0.651	0.174	0.9255	0.6195	0.0245	3.431	0.013	0.0645
1391	284.21	18.75	127.215	44.4705	241.55	10.765	0	609.5	64.5	845.5	225	8413	864	14.475	2.695	32.778	814.5	427.5	1.595	144.15	3.35	1230.5	255.5	3814.5	2503.5	133.6	26	85.5	0.8	1746.87	4.2825	2.6215	1.721	1.003	0.004	2.35	0	0.0095
1561.5	245.665	24.45	73.225	15.8505	417.8	19.905	10.82	596.5	25.5	2229.5	48	1121	3038.5	13.47	2.8285	23.3925	358	292.5	2.91	58.75	7.85	1414.5	404.5	3018	2929.5	110.45	9.5	107	0	4178.235	0.5645	0.1495	1.2845	0.3695	0.037	2.6225	0.0075	0.1095
1119.5	127.43	13.15	71.34	16.316	379.85	11.68	0	643	26	4958.5	7.5	356	10935.5	8.915	1.3505	16.162	376	287.5	0	46.85	2.15	513.5	328.5	2103.5	1926.5	126.1	64	12	0	3618.505	0.764	0.2595	0.827	0.315	0.0235	1.3325	5e-04	0.099
673	133.73	7.75	61.365	22.8465	290.3	3.25	0	255	50.5	243.5	122	624	597	6.655	1.468	8.784	237	148.5	0	105.25	3.8	690	159	2259.5	1796	61.2	264	0	0	2060.875	2.1	1.6485	1.1405	0.19	0.0345	1.1255	0.001	0.036
1942	315.755	25.65	51.575	21.826	595.85	11.98	6	1159	705	2367	21.5	0	1637.5	30.935	3.813	23.0825	529	223.5	1.05	133.65	13.25	2093	318.5	3081	3584	137.5	17.5	25	0	3085.87	2.3935	1.1305	0.632	0.095	0.004	0.904	0	0.065
1173.5	317.72	26.35	39.435	18.8665	210.35	7.475	1.69	964	2083	5525.5	44.5	10970	996.5	12.945	1.64	21.4275	368.5	191.5	0.755	163	5.7	1023.5	428.5	3115	4579	116.1	0	0	0	2462.315	2.61	1.2655	0.7245	0.1025	0.009	0.509	0.004	0.1415
1509.5	311.935	15.9	101.535	28.3205	362.7	9.73	0	703	36	6281	96.5	2948	8719	14.71	1.6025	32.605	351.5	235.5	0	75	4.8	1076	343	4180	2681.5	146.4	2.5	24	14.9	2018.08	2.004	0.47	2.1905	0.589	0.1015	1.9115	0.021	0.105
1382.5	325.445	41.55	44.785	9.8755	274.7	8.485	1.93	827	712.5	2479.5	279	1467	1937	22.56	2.344	31.1755	743.5	343	2.965	181.65	2.5	889.5	433.5	3187	3831	103.6	253.5	82	0	2427.67	0.292	0.0785	0.673	0.1475	0.0025	1.3115	0.001	0.0055
1380.5	210.02	20.1	81.625	25.298	242.55	13.76	0	326	4.5	356	19.5	7566.5	385	14.22	1.99	17.187	478	222.5	0	15.75	2.55	1126	324	2894	2563.5	76.15	174	0	14.05	2179.49	2.678	0.7465	0.939	0.207	0.019	1.231	0.002	0.003
2400.5	372.025	34.1	135.12	46.6145	348.1	13.475	0	1315	6.5	2326.5	15	8038.5	3077.5	20.54	4.4125	44.9885	543.5	271.5	0	45.15	2.35	2190	811	4755	3178.5	146.3	14	123	0	2526.275	4.155	2.2065	1.684	0.557	0.037	2.871	0.151	0.1045
2941	205.685	10.05	95.5	30.231	476.8	34.815	29.13	2532.5	2.5	259	12	3533.5	191	30.23	5.816	83.552	1389	193.5	7.295	156.25	11.55	1855.5	760.5	5383.5	2904.5	193.35	151	59	74.4	5503.485	3.3435	1.9495	1.2755	0.2915	0.005	2.1135	0.0045	0.01
1148	260.105	13.8	103.82	25.9505	387.05	10.585	0	322	9	336	50	6494.5	1180.5	10.685	1.4035	21.041	499	255.5	0	55.05	7.8	635	262	4180	2121	163.45	32.5	0	0	1738.09	1.8235	0.872	0.7865	1.0375	0.1395	2.7045	0.0395	0.4735
1817	331.745	16.35	70.085	23.737	418.35	15.4	10.89	1688	1937	5320.5	5	2584.5	1001.5	27.685	3.918	35.44	1448	223	8.84	178.85	14.95	1575.5	426	3438	3681.5	168.15	306.5	4.5	0	3576.665	2.7085	0.7525	0.8505	0.33	0.031	1.1625	0.079	0.156
726	140.16	7.9	69.255	17.8805	272.9	6.485	0	157.5	58	1030	87.5	2935	574	5.455	1.0105	18.1985	218.5	161	0	62.85	0.45	374.5	223.5	2235	1869	51.1	97	45	69.9	3059.655	1.0035	0.172	1.2755	0.2295	0.015	2.239	5e-04	0.008
924	99.58	11.05	28.605	9.064	442.3	2.765	0	318	294	784	48	0	1698.5	7.555	1.198	19.8165	210	133	0	49.95	3.95	420.5	180	1903.5	1242.5	95.2	0	0	0	1096.195	0.5135	0.15	0.4125	0.077	5e-04	0.4685	0	0.0715
1496	320.625	12.8	100.535	35.575	491.65	7.115	0	682.5	60	571.5	198.5	803.5	1181	11.655	2.5575	21.0575	385	263.5	0	36.05	8.8	1120.5	298	3808	3039	134.8	328.5	27	0	3994.54	3.385	1.007	1.3055	0.2455	0.014	2.3425	0.0015	0.051
