Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39
BCAR	-0.0302365216330853	0.239010649163895	0.261156786521172	0.0112516815275182	0.109958766670597	-0.429057910044783	0.325435424589539	0.0407197572380403	-0.0127998033833231	-0.0877227160628297	-0.0414965664339376	0.0139682652726698	-0.0952995263624239	-0.114916446755742	-0.034238090138719	0.181353049343673	-0.067776131814882	0.0167868272502156	-0.0197322859192375	-0.00861038003506607	0.0342566329930601	0.0610145123258638	-0.00581015945446724	0.0264911880720553	-0.0478861935633109	-0.00587248439205502	0.0800809087063814	-0.0282861680103189	0.0476172146447983	0.134725716392838	0.013211566374759	0.0405721231780322	0.0959388336472344	-0.0998338361912278	0.0498872050772056	-0.0286542072792204	0.38286057574207	-0.537694361616445	0.0531825560074149
CRYP	-0.0675319348049049	0.0648328629004894	0.221017943457581	-0.242137227007651	-0.162781711887196	-0.0302658408247228	-0.106178641743959	-0.145705909388043	0.281348098948422	-0.215915569186161	0.349647786754075	0.167519715387141	0.291792613174071	-0.0344839069570928	-0.207723528217179	0.0120275767665196	0.210058151636875	-0.285701957693734	0.225564904271443	-0.126094072560025	-0.131040689022705	-0.129940975770082	-0.105896874557749	-0.275502022557178	0.122952404973592	-0.217997185190349	-0.0323364853613854	0.0760205245889757	0.0582090966868571	-0.0782368259401746	-0.028116970346759	0.115793399882445	0.0205884857653571	0.0658637431950982	-0.0144262774122106	-0.0027848770590484	0.0397416458608892	-0.0568883701739632	-0.0381161356878831
LYCO	-0.0664772888770243	0.0617701333332884	0.00459069091613345	-0.26005521412097	0.178273069322131	-0.02746129915429	0.228722763698387	0.00992971724949488	-0.222191101939692	0.41174265317906	-0.163673495418671	0.354596335274057	0.13427268463121	0.116009423464382	-0.270995173417382	-0.272972781459647	0.308164175703978	0.165846118576032	-0.114234674712737	-0.157057082386606	-0.161871728802233	0.17914556847772	-0.218702602081419	-0.0591348246789618	-0.0196802003930752	-0.0279281385562368	-0.0186367938437393	-0.00449733587788828	-0.0480795805099382	0.0593143972478452	-0.0272648979702508	0.0224818826560124	-0.0444131769725756	-0.0111653924809682	0.0571815260437876	-0.0214065668263346	0.00662279431936984	0.0622124343636485	0.0116679517287067
LZ	-0.0129390625019173	0.0612207950770493	0.262923268158275	-0.1289689097434	0.0354896771910296	-0.359496154827173	0.234996318671267	0.487996626673078	0.0153529076127156	0.0311965949107755	0.011733782226365	-0.0419189634888687	0.0774163531738997	0.0908083389523328	0.0726636152557308	0.21863392653556	0.122451585734516	0.00799649024969198	0.000366413749536922	0.17307523215667	0.224996977532276	-0.212202023254165	0.070929970405318	-0.0975811113551927	-0.0575831616429006	-0.0588044741088125	-0.0240423816990284	-0.0989613868971638	-0.0219029802178443	-0.0626579388851055	-0.0632984000660417	-0.000484943047207309	-0.0824104015286106	0.0709885844088813	-0.0182894538603981	0.0354868958073487	-0.301250398795104	0.361136728346819	-0.0257657796327682
IRON	-0.236661676397605	0.122344793919618	-0.016891105244414	0.0591610492800514	0.105123055824114	0.108780854225194	0.00253713261998378	-0.00281260666597539	0.0376875363490253	0.0342779437149024	-0.135504523479473	-0.0232099293317585	0.0814753250556945	-0.0657329371841705	0.144986592758029	-0.154690360695578	-0.218951748266128	-0.179432712091008	-0.16780695495517	0.2311920387549	0.0649363250962028	-0.130212737403042	-0.39240657235976	-0.166570663489219	-0.0880667196742354	-0.0873780709923892	-0.11936962314239	-0.284519466237683	-0.00935958553602781	0.111245913805494	0.0696529627150191	0.232581745088173	0.339577056375451	0.280650678177527	-0.0594876254285369	0.142821199216795	0.200298494611433	0.133701144411776	-0.0477391189836594
VB2	-0.200912075758779	0.138328277561711	-0.158044437210703	0.0659872585616043	-0.227358681867705	-0.0588486995979515	-0.105716526912561	0.0730930430241012	0.187921429353342	0.257510186771008	-0.0339167385935563	-0.131495925549341	-0.0598957146542055	-0.0329207429115472	-0.0956858453720884	0.199079762524178	0.156599821866334	0.07693912999122	0.150722188121556	-0.0847041303170135	-0.0138430778895478	0.0419067470131999	-0.0834404351196301	0.0465201538891062	0.131636314585738	0.0112466135335382	-0.0668079458160817	-0.237871766434478	-0.154598458383273	0.118251720886601	-0.140575725681636	-0.130199484508067	0.115170443248377	-0.105617349567696	-0.52770804789047	-0.344957033889941	0.115947126059888	0.059166354062588	0.0512216109475754
NIAC	-0.192077000688236	0.00364766451043199	-0.138313942572234	0.138656611738489	-0.260425137752518	0.111787558767314	0.212097353903985	0.0476102569897453	0.213719348495532	0.255847037402712	-0.0675932017123767	0.128837518678489	0.067471802361881	0.0048373574044704	-0.0483004590392373	0.129941025892255	-0.157403904181805	-0.0359631074667233	0.0355325641006169	-0.138767281674414	0.167057445392032	-0.00180693189380318	-0.00798774609864624	0.00444414894987382	-0.09288625681457	-0.0558106592411188	-0.074048503881815	0.0687909225161867	0.41516870016514	-0.0992101819210513	0.0129897924210425	0.113414860257295	0.29331179029922	-0.345255523185523	0.290071479479945	-0.0604622775270359	-0.231331598635915	-0.0424742400547167	-0.0307004798210376
FDFE	-0.219191412707512	0.165753102681367	-0.025642122028473	0.0993239613430016	0.116243211782221	0.0355891714513054	0.0410188958616639	0.108718826809929	0.0881646265103487	-0.0883281917822453	-0.0583754790735603	0.150612445226683	-0.103451386724857	-0.153717881754033	0.0844287936408089	-0.346760459825902	0.0145586394344482	-0.136578590798045	-0.0476907633482415	0.314064943169639	0.0744497094856739	0.0247072735680197	-0.112465688595297	0.0539197971218573	0.294449038315392	-0.132300158812901	0.0856588795674319	0.0110030001396931	0.312905988704747	-0.194527912627029	0.054864786636233	-0.17871835888283	-0.386274177099924	-0.0549267801839005	-0.124337260966078	-0.248612156014294	-0.111932480771355	-0.12332416047687	0.0350414377217871
FF	-0.200573169675699	0.0604805714927099	0.199426536714508	-0.238096628318307	-0.0217969357712236	-0.000384099700227784	-0.0924848971873845	0.194708370660794	0.0869336095994985	-0.0911109491417042	0.0143477274614222	-0.0686658595160852	-0.225912050589433	0.200078122230727	0.0230282899731931	-0.152107678224936	-0.0398139003656328	-0.0704277490164153	-0.137730741358315	0.0113227376924544	-0.202803979816576	0.0953590362363943	0.0915976610714345	0.222383061858582	0.269233728205708	0.159131530228542	0.0190938029100011	0.264304106343489	0.171121278541025	0.0294540819715236	-0.207426388473864	-0.0595629610683665	0.280536427578452	-0.179075354176335	0.0116286415043686	0.168660783486965	0.265369554799016	0.287184271809658	-0.0805391982209394
B12A	-0.0996765891852101	0.154880357460283	-0.213915724792138	0.264540851868069	-0.146403935565404	-0.0499699298224852	0.265929837766255	-0.118625232976393	0.351853617845707	0.110565910360565	-0.0440984889394568	0.0416376969315125	-0.0850986804770208	0.285666054998569	0.0112433412320056	0.172246483511643	0.112637058679331	-0.0280114601869554	-0.0853960756507119	0.0875306933736519	-0.0536752122162844	-0.072666099297751	-0.103065869718512	0.000234416472102875	0.185418116067478	0.104406570784697	-0.0391865339879243	0.339141997807981	-0.247004458307441	0.0174168287449188	0.0677077610905091	-0.0492738630537573	-0.22113433127566	0.292449713355178	0.146410690501444	0.208079272138901	0.0765268530770299	0.00300667665484724	-0.0295117343409912
