F_CITMLB	F_OTHER	F_JUICE	F_TOTAL	V_DRKGR	V_REDOR_TOTAL	V_REDOR_OTHER	V_STARCHY_TOTAL	V_STARCHY_OTHER	V_OTHER	V_TOTAL	PF_LEGUMES	G_WHOLE	G_TOTAL	PF_MEAT	PF_CUREDMEAT	PF_ORGAN	PF_POULT	PF_SEAFD_HI	PF_SEAFD_LOW	PF_TOTAL	PF_EGGS	PF_SOY	PF_NUTSDS	D_MILK	D_YOGURT	D_CHEESE	D_TOTAL	OILS	SOLID_FATS	ADD_SUGARS	A_DRINKS
0	0	0	0	0	0.2806	0.0241	0.218	0.06025	0.268128	0.766728	0.42545	0.2436	3.905176	0.98345	0.0462	0	0.53	0	0.774	2.6092845	0.0362345	0.2394	0	0.0576	0	0.0462	0.1038	11.79635	9.5068595	17.268265	0
0	0.33835	0.0168	0.35515	0	0.3609	0	0	0	0.257225	0.618125	0	0.6496	7.41695	0.9028	0.6831	0	0	0	0	3.8988	1.0135	0	1.2994	0.56945	0	1.236455	1.805905	18.39325	37.769384	17.8119	0
0.590625	0.12505	0.024	0.739675	1.115681	0.0091	0	1.4965475	0	0	2.6213285	0	0.817875	3.739	1.08409	0.1415	0	4.116	0	0	6.54969	1.0065	0	0.2016	3.7457385	0.23625	0.2835	4.6434885	15.429797	47.8310545	2.1778	0
0.3537	1.06405	0	1.41775	0.8752	0.37867	0	0.305	0.305	0	1.55887	0	0.3407	3.758	0.739762	1.0298	0	1.6959375	0	0	3.4654995	0	0	0	0.687775	0	0	0.687775	3.541207	25.192317	4.552402	0
0.0385	1.134275	0	1.172775	0	0.0828335	0.058292	0.098176	0.098176	0.1627505	0.34376	1.9350765	5.20725	6.09564	0	0.078	0	0.6469925	0	0	1.8656425	0.49125	0	0.6494	0.9971375	0	0.24675	1.2438875	12.0860685	9.702754	2.502471	0
0.0735	1.2969	0.27245	1.64285	0.3675	0.4	0.4	0.61	0	0	1.3775	0	0.4292	1.8904	2.3383	1.9768	0	0.590625	0	0	5.1750375	0.0103125	0.259	0	0.0266	0.86975	0.24675	1.162	23.95065	10.0991125	23.22618	0
0.3598035	2.4420945	0.3455725	3.1474705	0	1.229279	0.080825	0.7408125	0.2020625	0.379984	2.3500755	0	1.533621	14.404442	2.132701	2.6072	0	0	0	0	7.946361	3.20646	0	0	0.8829125	0	1.689	2.5719125	38.3586845	72.976291	22.42114	1.056
0	0	0	0	0	0.3	0	0	0	0.452776	0.752776	0	0.65625	9.35885	1.02485	1.9277	0	0	0	0	3.6568	0.70425	0	0	0.05145	0	1.7015775	1.7530275	22.7458	44.857112	11.733825	0
0.0225	0.0225	0	0.045	0	0.374575	0.266475	1.3968	0.4488	0.301125	2.0725	1.0593	0	4.5918	3.2746	1.1224	0	3.1326	0	0	19.0938	1.2712	0	10.293	0.0646	0.27	1.0303	1.3649	67.7747	35.33825	8.83545	0.995625
0	0.1469	0	0.1469	0	0.53815	0.06375	2.172	0	0	2.71015	6.183	1.2068	5.4814	0	0.4435445	0	0.3825	0	0	2.2103045	1.28346	0	0.1008	0.5173	0	0.398325	0.915625	41.3087	24.50967	18.7809125	0
0	0	0	0	0	0.279125	0	0	0	0.654365	0.93349	4.0274	0.6732	6.534	0	3.5451	0	0.2698	0	0	3.8149	0	0	0	1.5943875	0	1.480225	3.0746125	11.5562	55.6367	5.4927	0
0.8208	0	0	0.8208	0.40375	0.14675	0.10325	0.21945	0.13405	0.476925	1.246875	0.126	0.182947	4.8029345	1.260416	0.2016	0	0.42315	0.565288	0.739858	13.377807	1.3161	0.478625	8.39277	1.5046245	0	0	1.5046245	50.078682	14.357778	8.3500455	0
0.0022965	0.1095465	0.009	0.120843	0	0.19941	0.04812	0.6975	0	0.6393665	1.5362765	0	0.066375	8.25928	0.62622	1.9304	0	2.45	0	0	6.5217425	0.34856	0	1.1665625	0.24836	0.027558	0.425512	0.70143	38.858633	33.498802	9.471639	0
0.123045	0.1966125	0	0.3196575	0.18205	1.184675	1.184675	0.162825	0.049275	0.2905375	1.8200875	0	0.4914	1.37324	0.984375	1.8645	0	1.184625	0	0	5.62979	1.26415	0	0.33214	0.220654	0	0.83591	1.056724	26.509966	40.027245	1.918247	0
0	0.3953	0.248	0.6433	0	0.6922045	0	0.1776	0	0.270954	1.1407585	0.8957	0	13.0484245	3.7323385	0.4673	0	0	0	0	5.9660385	0.7808	0.9856	0	0.5606	0	0.92545	1.57405	24.330119	34.243294	11.0214595	0
0	0.73365	0	0.73365	0.33306	0.5823895	0.493045	0.0975	0	1.107697	2.1206465	0	2.154	5.463636	0	0	0	1.168911	5.542626	0	7.2158175	0.5042805	0	0	1.5617915	0	0.019899	1.5816905	29.790971	17.0215225	21.62682	0
0	0	0.496	0.496	0	0	0	1.55	0	0.125925	1.675925	4.122	0.48875	5.38715	0.8874	0	0	0	1.0982	0	2.28024	0	0	0.29464	0.139775	0	0	0.139775	10.4632	37.811531	10.28495	0.396
0	2.53955	0.01495	2.5545	0.0480375	0.57065	0.2078	0.109375	0	1.768677	2.4967395	0	1.5795	6.0731125	2.0628375	0.4576	0	0	0	0	3.896155	0.8757175	0	0.5	0	0	0.5211245	0.5228745	37.051055	20.1413895	4.76214	0.504
0	0.9431	0	0.9431	0.806648	0.3472375	0.3125	0.305	0.305	0.8376465	2.296532	0	0	0.7794	0.437262	0.504	0.317275	3.916325	1.5504	2.1069	10.473837	1.641675	0	0	3.049325	0	0	3.049325	12.442776	43.5789125	1.9022	0
0.6083	0.67	0	1.2783	0.806195	1.09025	0.13455	1.73515	0.133875	1.122925	4.75452	0	1.96965	5.39068	2.242475	2.3869	0	0	0	0	7.450375	2.821	0	0	1.2358155	0	1.594078	2.8298935	44.805814	61.14317	13.199004	0
0	1.029375	0.452925	1.4823	0.947025	0.03152	0.02752	0	0	0.90555	1.884095	0	1.77195	1.77195	0	0	0	1.7562	0	0	1.7562	0	0	0	1.4235875	0	0	1.4235875	0	8.4560625	2.6647395	0
0	0.2761875	1.1036	1.3797875	0.0177	0.22355	0.02065	0.297625	0	0.174325	0.7132	0.578825	0	5.62365	1.81995	0.062	0	0	0	4.182	6.82395	0.76	0	0	0.4672375	0.00295	1.273775	1.7439625	35.34755	29.4506125	11.7371	0
0.02148	0.2775	0.961	1.25998	0.51475	0.467335	0	0.010736	0.010736	0.550084	1.542905	0	0.569475	4.095105	0.31671	0.0904	0	2.062125	0	0	4.040718	0.690233	0	0.88125	0.2812945	0	1.086985	1.3696795	23.8128725	25.6913565	5.196457	0.555
0	0	0	0	0	0.2624875	0.069	0.7245875	0	0.5483125	1.5353875	4.2508125	0	6.975775	1.0465	0	0	0.8372	0	0	2.6545	0.7708	0	0	0.19695	0	0.1729	0.38335	26.812921	28.334114	9.1460075	10.56
0.08748	0	1.054	1.14148	0	0.1272375	0	0.323125	0	0.698375	1.1487375	0.5636875	0.2584825	3.13349	0.1577	1.8652125	0	0	0	0	3.314315	1.2914025	0	0	0.032309	0	0.01519	0.057219	11.5277655	37.401689	8.073329	0
1.22885	0	0.04652	1.27537	0.625142	1.4528545	0.067969	0	0	0.9890005	3.066997	0	0	7.881987	3.291101	0.9884	0	3.43	0	0	7.964386	0.00936	0	0.245525	0.4203	0	0.00375	0.4428	20.1638445	22.272624	10.65935	0
0.2592	0	0	0.2592	0.544576	0.213	0	1.08375	0	0.184998	2.026324	0	2.1384	7.4755	2.7	0	0	4.3395	0.62715	0.7571	9.396458	0.653508	0	0.3192	0.05415	0	1.011	1.06515	40.2708485	33.607	30.6304605	1.056
1.000998	3.0848475	0	4.0858455	0	0.4649625	0.119475	0.4507875	0.3454875	0.7765875	1.6923375	0	5.8503	11.694775	1.9695375	0	0	0	0	0	2.3768875	0.208	0	0.19935	0.1812	0	0	0.2742	23.1174315	5.853094	8.1254745	0
0	0.5025	0	0.5025	0	0.21995	0	0	0	0.16075	0.3807	2.5334	0.2494	6.568778	0.99	1.4826	0	0	0	0	5.313745	0.06362	0.1505	2.627025	0.393629	0	1.3723625	1.7659915	31.222625	30.6283005	6.291701	1.008
0	0	0	0	0	0.1484395	0	0.2925	0	0.3514255	0.792365	0	0	4.7664715	0	0.2473975	0	4.6706	0	0	4.9584975	0.0405	0	0	0.0135	0	0.7068555	0.7447555	27.667981	20.72714	1.5809295	0
0.246125	0	0	0.246125	0	0.2236085	0	0.7450055	0	0.4767325	1.4453465	0	0.2385	3.0455875	0	0	0	9.282275	0	0	9.5274345	0.2451595	0	0	0	0	0.3319375	0.3319375	59.955253	25.601187	45.61798	0
