Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40
BCAR	0.0927222618902122	0.210674795582168	-0.201982707772033	0.3919142432979	0.0579038668813685	-0.0107526014432108	-0.134196709240554	0.126991226996181	-0.127806523196112	0.00498109710253331	0.0872793646433581	-0.124671256992362	-0.166014171995869	-0.0276979732866439	0.0388714784231717	0.0432518426527998	0.0531969177670803	0.0859820213066994	0.035932918799843	0.147949590123015	-0.0895208226041946	-0.178252126714244	-0.135821527085941	-0.152357833872685	-0.178344795062187	0.191271739893978	0.0189569184703713	-0.150375337867751	-0.0421884610403415	0.0822882551280959	-0.0755372716474026	0.28673504509872	-0.105129397309767	0.0837807187180546	0.11763507011086	0.00639372780866534	0.0191044797751555	-0.0299323800372149	0.0165000053913911	-0.554633857610514
CRYP	0.114144424438527	-0.0112928937719917	-0.168254376780747	0.0458053806688002	0.13694216827689	-0.30663163941393	0.299159871943051	-0.141421508057853	0.189189947467831	-0.152028704755123	-0.236812348395837	0.13717367069718	0.122795216385722	-0.199112900218509	-0.1125631786234	0.202065823439422	0.00237902848400817	-0.449058739828142	-0.0459765670056311	0.0666160063575592	-0.0603015304709205	-0.278039735721729	0.0816309930228701	0.0353325761897713	-0.325976962937516	-0.0543275150641947	0.014128469982195	-0.0268121681494509	0.255761101970823	-0.0908162565212304	-0.101144660041363	0.0232788703498613	0.00632152988342261	0.00123954927835206	0.00107211856608179	0.00524634217531436	0.00915444806122434	-0.0100935896232991	0.0146092526576296	-0.00600447549340678
LYCO	0.0517426079327428	-0.109501050761642	0.0177978102054817	-0.0107083610024543	-0.0793698531618717	-0.277263541114559	0.0249072526681791	0.441137945666125	0.0917389169287602	0.0462181147810842	-0.330744729901835	-0.456156137556341	0.126133892427005	0.379767163540477	-0.0755939297079994	0.152994302580509	0.318454427370563	0.124137377255227	0.0264212258223495	0.0728215720461315	-0.126677849013894	0.0351369491985688	0.118176049898478	-0.0355281125067098	-0.0215600532182512	-0.0899180619483887	0.0508058042543779	0.027755897933754	0.0184088286957372	-0.0632877076456488	0.0318224071808162	-0.0455588608556588	0.0453105172657141	0.025716514279669	0.0111983783896713	-0.0185282062681999	-0.0774054583192174	0.0728809286094254	0.00256579793655973	0.00804384638149396
LZ	0.0945167817852668	0.0634536349376652	-0.158822739783217	0.38161117165775	-0.105897374816227	-0.0810710179362136	-0.10387296368218	-0.131430025116896	-0.013594554143399	0.217939526172596	0.202726992507133	-0.054514987934358	-0.00986767403408007	-0.114469161143302	-0.166759856490862	-0.248796152598947	0.298293302913483	-0.276230312766131	0.314350853994089	-0.051862856670293	-0.226206077181016	0.194289608657199	0.185057658529786	0.207814897426267	0.0762596532735252	-0.0699029130496021	-0.0966206776529759	0.232963738734441	-0.0136907589416295	-0.0988955683632986	0.14661666216589	-0.0368488106848061	0.0338967690627986	-0.103906718369389	-0.0987940191827413	0.0380011642328916	-0.0817181213695611	0.0655492223526891	0.0226661276138119	0.027704501443458
VB1	0.2090501188497	0.00997568719163178	-0.0981561934674522	-0.0672661749543803	-0.148933510665864	-0.118466776080876	0.0794974368042548	0.15393976899722	-0.143992308973093	-0.0740661080941309	0.168920707671185	0.355924099259021	-0.0497573486300545	0.0624569346374615	-0.0324977070317702	-0.0118398558583195	-0.0692690986376379	0.244130971163231	0.00380732793914403	-0.0910729501605715	-0.0784113397420247	0.349505941488095	0.0806607515366373	-0.18266015855401	-0.38847989098921	-0.308553716265474	-0.0915670747000795	-0.0550133633683601	0.118497405528387	-0.159148498085908	0.151427867512036	0.107348671001862	0.174929273589877	0.149295445669143	0.11103977889279	0.216303463136858	0.0141084443578688	0.0484618453621176	-0.00220608643589687	0.00107376450089822
VB2	0.202808663308137	-0.0435330305868394	-0.047431183970143	-0.15999133189158	0.0240164913405123	-0.194307704173516	-0.250048575167838	-0.11017800966559	-0.0812420374131417	-0.309151918897414	0.068624506649882	0.0113199873854978	0.0408479140851352	-0.0506817884684751	0.00082452336253655	0.0117075089434254	0.0873640317579898	0.0888141913099356	-0.180496785077038	0.0694222475848683	-0.442083008309234	0.203588590466166	0.104106838449276	0.103107224172133	-0.0417431313211636	0.118603647098804	0.152947142366442	0.0463436495454186	-0.0446096026892266	0.210036898925505	-0.0592137444627642	-0.201121683673009	-0.175991934707913	-0.0902121125223997	0.0259149226912244	-0.124287327309505	0.253387299017805	-0.373038984817745	-0.0587358809158794	-0.00377046158284817
NIAC	0.198973018060485	0.0366578760716946	0.0230604387643708	-0.133598071709268	-0.206676247591789	0.0606120303046803	0.0620704141945515	0.0420210166311782	-0.276063869580401	-0.210656157840874	-0.0919505551624416	0.108842965235414	0.231821610418939	-0.122995126359028	-0.0974207586830359	0.0821060687661825	0.124134355347118	0.131967339385171	0.468054883470731	0.109849818083586	0.00605436387168268	-0.114203630820422	-0.114543667608928	0.0509675210750211	0.135716903984492	0.0737270116438197	-0.0578229811449852	-0.0811726238878747	-0.0945369452727049	-0.0196699435558807	-0.42624983581091	-0.0420396816037786	0.0400628490130849	-0.121135731772057	-0.160277264813756	0.314383692787354	-0.00501851825142013	0.0444030293974249	0.0235101465514545	0.00139617226985002
VB6	0.160011176031535	0.184795428642914	-0.182979357820538	-0.254939723889323	-0.13554171090755	0.103890481942265	0.0245033911187637	-0.0997849442632195	-0.184849046656095	0.0797697380375564	-0.126646805361128	-0.0467131977369588	0.103909884135076	-0.144403917714581	-0.00530182390650621	0.0606596100313285	-0.013330913621414	0.146487482293108	0.179156994835148	0.0922811832047845	-0.0103488826628005	-0.199512842313715	0.0754165951713907	0.0831980767055944	0.248006185497389	-0.233172638533856	0.171014566750928	0.114973329463274	0.287645042348208	0.0564171681908587	0.355746461655258	0.20893567363037	-0.234436633694244	0.239360672347183	0.114400735601696	-0.220054328947581	0.0326955467439831	0.0166237631030616	-0.0597348994833274	-0.00369117933593167
FDFE	0.186350560273816	0.085671454830907	-0.244110170188103	-0.151340024285767	-0.142779630748464	-0.0215234120549824	-0.0762938832588087	0.0559411382691301	0.101486625125463	0.142452651412678	0.0142188197337618	0.162402917334239	-0.214759857267806	0.15266542332784	-0.0809914697331187	0.097123785384935	0.0165199358237043	-0.0325179790365355	-0.0262697391701167	-0.439806711006004	-0.0363546067350577	0.0459809796575865	-0.101854850450503	0.109130758744144	0.0618446236247342	0.0383048011053133	-0.00587445940886666	-0.0979188656986275	0.0197679431955359	-0.128439714819079	-0.401751588736107	-0.0707310761111652	-0.244248419467399	-0.0509805873717585	0.148303293306902	-0.359206068593453	-0.150034685794648	0.218383871056936	0.0127526907852598	-0.00521227349235445
CHL	0.202892934207577	0.0753252843868848	0.232193263109221	0.0146412880838978	-0.0432991338165526	-0.0795646712043319	0.165669237858425	-0.296829984253551	-0.0152976752261639	-0.0110968060208093	0.0225654075057052	-0.129628564802384	-0.222184821675401	-0.0142897411715579	-0.0610123392542538	0.0628918979273059	0.0766404270010312	0.14384730394069	-0.167996766051307	0.00901133710076302	-0.1634576174404	-0.16687287664356	0.0116360005230712	-0.145153236066971	0.0934417797854512	0.0127332418903115	-0.125139964269343	0.098909952758535	-0.140863577540098	-0.169562847163602	0.027856630800593	-0.0469914536868475	0.0807113798617921	-0.0211519489063229	0.00314436166372108	-0.00982735951909284	0.491130621209414	0.482812555784059	-0.0484253209514798	-0.00833734117518409
