Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30
PF_LEGUMES	-0.0303629627684313	0.0277194734777604	0.0563159174568446	-0.183899649130503	0.129384758794707	-0.058016512549958	-0.564327676241769	0.274886427220722	0.0976982398318026	-0.150070911076585	0.0910848495906453	0.0219550316304711	0.0297414078379564	-0.0886504225611718	-0.101571731664613	-0.0816496274979934	-0.170562918998088	0.162394234413399	-0.329591006819846	-0.22016675015754	-0.258607930204157	-0.375446612510796	0.0679302095306179	-0.131282657893362	-0.138960008261976	0.0788172148090955	-0.00120464534570413	-0.113288757675215	1.34397140093166e-17	-5.01443504774546e-17
G_WHOLE	-0.216048661739828	0.00706648417221659	-0.0378514040488111	-0.149664845889063	-0.252207867209884	0.0304097888268891	0.0919741521485392	-0.104457463792808	0.0599516838941642	-0.0536448513941385	-0.00345144697634297	0.601011666324138	-0.0357853128071092	0.0677112390244991	-0.281669068437129	0.144859063385106	-0.196771850780867	-0.0766227479855582	-0.313445316353725	0.0792115152288408	-0.165258186067649	0.354228843797129	0.22478397507056	-0.11259281601875	0.000177537091109799	0.0211273802058251	-0.0757477782880512	0.0189887453628642	-2.11951397782975e-16	2.22044604925031e-16
G_TOTAL	-0.314667725004807	-0.203656194386244	-0.143624886545894	-0.104022252539045	-0.0746883984924763	0.22261878015485	-0.172928020771328	-0.0233469914056391	-0.0560715029015821	-0.121667909834943	-0.0421768991593407	0.181485729952129	-0.0126445304668173	0.214909867272109	0.115463558228537	-0.0616212916035587	-0.135979051082168	0.20437334062845	0.0887364282194759	-0.0431030471009621	0.478034553501159	-0.132766825537005	0.0324226069116185	0.347172153201233	0.231082301869767	0.29372106408818	0.140980894715716	-0.17050947718348	2.63531972822619e-17	-5.20417042793042e-18
PF_MEAT	-0.0236825847772141	-0.122218691468503	-0.000527113290163844	-0.0264426994971351	-0.0560235774557442	0.40437188642471	0.170041857913853	0.25830914717677	0.478948195486421	0.352794886063448	0.13630010291576	0.0830624215657948	0.0221170672609787	-0.14791351602851	-0.0646631949886416	-0.0916292924706712	0.0148116073961867	-0.145371148797822	-0.0124616192369494	0.0131782383886737	0.0684315564611127	-0.198485737349435	-0.109886508995813	-0.111209905064622	0.168632056248364	-0.0713009006180488	-0.088075994284857	-0.0662655127857653	-0.413955610257011	-3.37837396946483e-16
PF_CUREDMEAT	-0.095759339524426	-0.225158785955123	0.074163716873576	0.172901914193585	0.176843285907132	-0.318454651719787	0.0064207240050156	0.0175799641279664	0.335453672329485	-0.287403118641013	-0.0263909317821059	-0.144993064965186	0.0501308194022717	-0.0494539697380847	-0.114876630539521	-0.216693231678427	-0.289884457535377	-0.0518276306966527	0.326867465514009	0.0457128642662499	-0.207779082973387	0.262740522093823	0.135252265051112	0.038847294858408	0.162094904482504	0.266717832151726	0.00181813617677285	-0.0170710783751631	-0.253721412308171	4.33680868994202e-17
PF_ORGAN	0.0330522686685358	0.0118425927184901	0.0325560217212201	-0.157080333964341	0.133685905839926	-0.148301391635231	-0.445275455776997	0.364632487802022	0.0161006059000486	0.11473421531644	0.0601909630357463	0.160056238836922	-0.244067853955648	-0.02505303796396	-0.095776085586729	0.219889560315277	0.348166648258516	-0.30229081850709	0.216261554098458	0.0645865790749688	0.117002954226523	0.308914950328298	-0.0423597994400817	0.242716291248752	0.0203259108569674	-0.0290042366317568	0.00640002417464538	0.0659896745225369	-0.0504141144774449	-8.15591084252221e-17
PF_POULT	-0.148767556140278	-0.0234474648997286	0.281271656808593	0.0272463157769899	-0.329651326088463	-0.0457723099176158	0.121062588211678	0.126328210061826	-0.128858356725336	-0.161741764245398	-0.233577323229126	-0.207367729175139	-0.168292255611082	-0.161794580406024	-0.301966544304786	0.339278730999847	0.108430967006906	0.19932521327527	0.071659603504305	-0.18952936823893	0.207737352869224	-0.0416278868911554	0.0400319185105922	-0.135890852103241	-0.23669291111894	0.0890835109136165	0.0690871078526918	-0.0569396594602531	-0.354243698582164	1.13624387676481e-16
PF_SEAFD_HI	0.0890095900446916	-0.0358386174977821	0.0895423453793565	0.232669577611578	0.0338606986239374	-0.120151134106823	-0.216934662385806	-0.268223656013865	0.251580963212162	0.059294010978615	-0.104667377429401	-0.00804165713923786	0.298780378385533	0.517425978204212	-0.392413646166327	0.0864525056911971	0.198924271900761	0.0360643348269465	-0.14510623338526	0.204611019297469	0.118405524342382	-0.125405415448238	-0.213512654557304	0.0227217703802512	-0.0751188359432683	-0.00811885289633949	-0.0169894620742944	0.0343108778395535	-0.10461361541616	9.21571846612679e-18
PF_SEAFD_LOW	0.0965793580420689	-0.0705258540527572	0.198073330228598	0.183931784462685	0.100859696180383	0.102924608050527	-0.251950521830684	-0.3973417403599	-0.241940843653542	0.363499914388927	0.0779139211473348	0.0907856113414021	-0.02195891011752	-0.0831168404419913	0.00638541465474529	-0.217255167623843	0.0507809432293719	0.132653648138569	-0.0423539564655088	-0.432557781775628	-0.0368980890825451	0.248534721878359	0.15438803797381	0.0594056759314441	0.0501984253671447	-0.0386189515618962	0.0224384810092759	-0.0164621998627696	-0.326405115432542	4.33680868994202e-17
PF_TOTAL	-0.206434328056339	-0.244357942580945	0.296240843196625	0.292539838764318	-0.114009219184327	0.0654700775840561	-0.0524091625107025	0.0369334512238185	0.163660600004914	0.352022609849963	-0.0831398116571805	-0.0148818561114557	-0.0415386217790163	-0.174410881386549	-0.15793739955494	-0.00352403977374961	0.0205718604221255	-0.0212355831643797	0.105235616310744	-0.0639577209156808	-0.0432648241666641	-0.0366833131074579	0.0611393422604202	-0.00219798573486923	-0.0599594906500608	0.185529423567419	-0.0464443933898698	-0.0509390214111239	0.649794709604118	-2.91433543964104e-16
