"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37"
"V_STARCHY_POTATO",-0.112343297734094,0.17006536442651,0.107932552812159,0.337855496074653,0.644800923616515,0.409800136157553,0.104861819772087,0.0972186110724573,0.0457323797157048,-0.0478091144860926,-0.0658849883007799,0.0170480844520332,-0.0301048475846505,0.243811658463333,0.22062953089573,-0.260645893772629,0.0199960046084947,0.016968236001483,-0.0500253229461993,0.0223675787220762,0.0297316655654452,-0.0681801228761339,0.145293948727668,-0.0787095734620009,-0.0719191307500782,0.0134318850608959,0.016817893555467,-0.0192182769033538,0.00167884228800415,3.83408932902723e-06,-1.07898553231895e-08,-4.36960383689459e-13,-1.28402923043253e-16,3.6890778606056e-16,2.03897292343233e-16,-2.06453872509159e-16,-1.41204123309144e-16
"V_STARCHY_OTHER",-0.150107262531877,0.233145655627596,0.137545448578626,0.205532734723561,0.158089111625274,0.263492722966538,-0.394140946573234,-0.075455788014694,-0.0186372547509976,-0.175047243524566,0.22162797103483,0.0333856479523641,-0.127332525830987,-0.439036886252865,-0.354887961693395,0.247526360615609,-0.0172074428046321,-0.0526505185795158,0.117955372665534,0.0780345080890614,0.0102368322347029,-0.00861572423016133,-0.244018061841161,0.129522664703005,0.169290324635893,0.0179607867236667,0.0226366058666922,0.00418206942796612,0.000591510971525815,-3.37061771315893e-06,-6.50639782644692e-09,-2.63489394624844e-13,-7.74283354745829e-17,2.22455339343489e-16,1.22952247345591e-16,-1.24493892520509e-16,-8.51475961048947e-17
"V_OTHER",-0.571477767952722,0.259312832877297,-0.137909267190655,0.0745187874982525,0.117091179389732,-0.257383567940815,0.1465822545719,0.0158247228623452,0.155647625824503,-0.148196624079571,-0.295053009381764,-0.0303124883761858,0.030491153082043,0.0367279126185626,0.0489867168126525,0.2710675689226,-0.091793413283342,0.0172788564682187,-0.175597254677271,0.03410291689129,0.0371249059121343,0.237642984835254,-0.243055161606806,-0.0991016233897733,-0.11749902018133,-0.286596728442794,0.0480688927474235,-0.0430817232219421,0.00181915842419932,-3.63132518653898e-06,-4.8394662548856e-08,-1.95982121544405e-12,1.04829771747327e-25,1.4076474759344e-26,2.63867644736127e-25,6.4318614938873e-26,4.59304919749596e-25
"V_LEGUMES",-0.236653236999798,0.0651446727355831,-0.0947190861730749,-0.776637037699277,0.0487225725447751,0.290213044958454,-0.270800258924541,-0.248934926798001,-0.0906719731742395,-0.0959015242867903,-0.19642857671425,0.00285258251234447,-0.136467601886309,0.106000875885319,0.0132433446149329,-0.0100175513772589,-0.0777738702466545,-0.0534925195157741,-0.0523084399386185,0.0478419812270326,0.00566494843403075,-0.0139985016634027,0.0262632140444676,-0.0485695321118859,0.0435727536202045,0.00856179800707161,0.0171092179169677,-0.00770839980799554,6.26047931667718e-05,0.00578681018615181,5.1185636457468e-15,1.74422805168537e-16,-4.90351194855304e-30,-3.65264424527564e-30,1.06086606309885e-30,-4.11909634995747e-30,1.55024559302661e-30
"G_TOTAL",-0.498266811978341,-0.583821219945436,0.193588469803529,-0.308367195108436,0.150422041569301,0.0845877912593178,0.102775354259719,0.322612355097738,0.0808029668114418,-0.0452405963483438,0.0711842206855074,-0.0174573608393416,0.157679430303913,-0.126447026219738,0.0421222319715656,0.0563497598934316,-0.068975468726407,0.0265341869149725,-0.0246037639593903,0.0373691269055647,-0.152892987174719,-0.0145481741195833,-0.0742274929826286,0.0265093401484286,-0.0999019057565089,0.145589250612782,0.0471463312361909,-0.0586335498646457,0.00652635758845844,1.4282991878147e-07,5.90357265402519e-16,-1.99379031684605e-17,1.8561996869083e-16,-5.33295115581215e-16,3.95282026286317e-16,-1.19902490827495e-16,-3.50730151710799e-17
"G_WHOLE",-0.25887662091956,-0.0424857371203394,0.0359168759793809,-0.377734638601678,-0.130138451262767,0.385417459516896,0.279792845601344,-0.00633914618968194,0.276932887636471,-0.0572087649228666,0.176026337147559,0.11042108796732,0.202071834706095,-0.16533186950857,-0.0827357355101481,-0.249592660591421,0.0906718414218579,-0.0313802943644381,-0.0854102985909113,0.0554803373125361,0.0225405491447137,0.0609954850339555,-0.0251961958918051,0.396204890914246,-0.292525234195425,-0.123743903864443,-0.0239395389620989,-0.00710133949756409,0.00418767267101047,2.12125035404272e-06,1.3732048836003e-16,1.19039545653558e-17,-7.25452073285369e-17,2.08425876806251e-16,-1.54486700716708e-16,4.68610738253955e-17,1.37074646395443e-17
"G_REFINED",-0.433927312259153,-0.619834817249902,0.196207362987899,-0.175649467877953,0.219955778525985,-0.0721701418386028,-0.00718505493124614,0.355246992341892,-0.0299742865176519,-0.0250045443600826,0.00261002568447155,-0.0662356337012696,0.0860054518702869,-0.067566726203929,0.0813646456615062,0.168173545478294,-0.11409830296041,0.0423975957043169,0.00959103495979593,0.0171410538354536,-0.176702842180905,-0.0419478016794229,-0.0703524096537455,-0.140243385891698,0.0157628312087253,0.211943676688898,0.0617440255061538,-0.0610398692240384,0.00534329997849903,-7.49867706030302e-07,5.7076702240603e-16,1.61683941373444e-17,-1.6986257794706e-16,4.88023372582736e-16,-3.61726297416666e-16,1.09723896291327e-16,3.20956458260101e-17
"PF_TOTAL",-0.568892267857827,0.339952532668394,0.601600687575363,-0.0190905298882751,-0.256288423459253,0.0255335562061735,0.201302932777383,-0.120412728275923,-0.0353775963476479,0.151626322071439,0.102490087255485,-0.027135144522771,-0.0777126655692501,0.0419277889230905,0.0278202452866143,-1.07683115156816e-05,0.0568251877067911,-0.0649479333356384,0.0899143603765607,-0.0352521475183505,-0.00889591319532892,-0.00281152808077661,0.0261385415794316,-0.0529247111036858,0.0411522209009864,0.000475090167315014,0.0913725691412004,-0.0520168990452928,0.000177494215371303,-2.09529832217034e-06,3.59110248261879e-11,-7.44275633033394e-09,5.25608123114932e-24,1.09109521169729e-24,-1.18354796697729e-24,3.3619714946618e-24,-9.68785108221114e-25
"PF_MPS_TOTAL",-0.394371939177301,0.194546008868951,0.81757100902015,0.0282328117904696,-0.230775387174892,-0.0891300278693248,-0.158323335651067,-0.0189791214202317,0.0172350406138871,0.102778710625185,0.0450800143599699,-0.00341036742755532,-0.0738157426797901,0.0415912872569026,0.0940644476650063,-0.0819595958901194,-0.0399700721769,-0.0901350713682158,0.0022289360860748,0.00547316983695494,-0.0177812287489525,0.0201602791617291,-0.011046689444789,-0.0290916935464147,-0.0312472400321281,-0.0328263514363728,-0.0398510960352471,0.00605779588226236,0.000463868920645233,-1.78954517690826e-07,-1.64905496250559e-11,3.41775517244023e-09,-8.20842036321598e-17,2.35831865461316e-16,2.6652818902602e-16,-9.77460466232438e-17,2.39768562241944e-16
"PF_MEAT",-0.0934004441581478,0.0156331973746464,0.472398228368927,0.0716405403047069,0.00959762358883207,0.13186012192695,-0.149093589293766,-0.205773529165008,0.0733428595820855,0.409417747873039,0.0151792535298575,-0.582972262213915,-0.0294362223018472,0.108714380453999,0.117835948953081,0.271053279599603,0.0300303667808333,-0.0389899057273171,0.0399675284427872,0.094968799413721,0.0670926633278755,0.0335572669101539,0.00717377797332444,0.10764244643326,-0.148083101763597,0.0378215012591017,-0.116930320766975,-0.0148860682089115,0.00112688294513195,-3.36850498001201e-07,-8.78191263635861e-12,1.81998483190724e-09,4.65883315500996e-17,-1.33850525721641e-16,-1.51272763174225e-16,5.54774870976102e-17,-1.36084866212878e-16
