FoodID	taxonomy	Main.food.description
21000120.0	L1_Meat_Poultry_Fish_and_Mixtures;Beef_NS_as_to_cut_cooked_lean_only_eaten	Beef NS as to cut cooked lean only eaten
21001020.0	L1_Meat_Poultry_Fish_and_Mixtures;Steak_NS_as_to_type_of_meat_cooked_lean_only_eaten	Steak NS as to type of meat cooked lean only eaten
21101010.0	L1_Meat_Poultry_Fish_and_Mixtures;Beef_steak_NS_as_to_cooking_method_lean_and_fat_eaten	Beef steak NS as to cooking method lean and fat eaten
21101020.0	L1_Meat_Poultry_Fish_and_Mixtures;Beef_steak_NS_as_to_cooking_method_lean_only_eaten	Beef steak NS as to cooking method lean only eaten
21101130.0	L1_Meat_Poultry_Fish_and_Mixtures;Beef_steak_broiled_or_baked_lean_only_eaten	Beef steak broiled or baked lean only eaten
21102130.0	L1_Meat_Poultry_Fish_and_Mixtures;Beef_steak_fried_lean_only_eaten	Beef steak fried lean only eaten
21104110.0	L1_Meat_Poultry_Fish_and_Mixtures;Beef_steak_battered_fried_NS_as_to_fat_eaten	Beef steak battered fried NS as to fat eaten
21304210.0	L1_Meat_Poultry_Fish_and_Mixtures;Beef_shortribs_barbecued_with_sauce_lean_and_fat_eaten	Beef shortribs barbecued with sauce lean and fat eaten
21401110.0	L1_Meat_Poultry_Fish_and_Mixtures;Beef_roast_roasted_lean_and_fat_eaten	Beef roast roasted lean and fat eaten
21407000.0	L1_Meat_Poultry_Fish_and_Mixtures;Beef_pot_roast_braised_or_boiled_NS_as_to_fat_eaten	Beef pot roast braised or boiled NS as to fat eaten
21407110.0	L1_Meat_Poultry_Fish_and_Mixtures;Beef_pot_roast_braised_or_boiled_lean_and_fat_eaten	Beef pot roast braised or boiled lean and fat eaten
21407120.0	L1_Meat_Poultry_Fish_and_Mixtures;Beef_pot_roast_braised_or_boiled_lean_only_eaten	Beef pot roast braised or boiled lean only eaten
21410000.0	L1_Meat_Poultry_Fish_and_Mixtures;Beef_stew_meat_cooked_NS_as_to_fat_eaten	Beef stew meat cooked NS as to fat eaten
21416000.0	L1_Meat_Poultry_Fish_and_Mixtures;Corned_beef_cooked_NS_as_to_fat_eaten	Corned beef cooked NS as to fat eaten
21417110.0	L1_Meat_Poultry_Fish_and_Mixtures;Beef_brisket_cooked_lean_and_fat_eaten	Beef brisket cooked lean and fat eaten
21500100.0	L1_Meat_Poultry_Fish_and_Mixtures;Ground_beef_or_patty_cooked_NS_as_to_percent_lean_formerly_NS_as_to_regular_lean_or_extra_lean_	Ground beef or patty cooked NS as to percent lean formerly NS as to regular lean or extra lean 
21501000.0	L1_Meat_Poultry_Fish_and_Mixtures;Ground_beef_less_than_80_lean_cooked_formerly_regular_	Ground beef less than 80 lean cooked formerly regular 
21501200.0	L1_Meat_Poultry_Fish_and_Mixtures;Ground_beef_80_84_lean_cooked_formerly_lean_	Ground beef 80 84 lean cooked formerly lean 
21501300.0	L1_Meat_Poultry_Fish_and_Mixtures;Ground_beef_85_89_lean_cooked_formerly_extra_lean_	Ground beef 85 89 lean cooked formerly extra lean 
21602100.0	L1_Meat_Poultry_Fish_and_Mixtures;Beef_jerky	Beef jerky
21603000.0	L1_Meat_Poultry_Fish_and_Mixtures;Beef_pastrami_beef_smoked_spiced_	Beef pastrami beef smoked spiced 
22000100.0	L1_Meat_Poultry_Fish_and_Mixtures;Pork_NS_as_to_cut_cooked_NS_as_to_fat_eaten	Pork NS as to cut cooked NS as to fat eaten
22000110.0	L1_Meat_Poultry_Fish_and_Mixtures;Pork_NS_as_to_cut_cooked_lean_and_fat_eaten	Pork NS as to cut cooked lean and fat eaten
22000120.0	L1_Meat_Poultry_Fish_and_Mixtures;Pork_NS_as_to_cut_cooked_lean_only_eaten	Pork NS as to cut cooked lean only eaten
